time,temperature,ch1,ch3,ch5
1.182850000000000000e+04,4.746093750000000000e+01,6.562499999999982236e-02,1.535999999999999943e+01,-3.773437500000031974e-02
1.182860000000000036e+04,4.729614257812500000e+01,7.624999999999992895e-02,1.533000000000000007e+01,-4.593750000000085265e-02
1.182870000000000073e+04,4.738769531250000000e+01,1.562500000000000000e-02,1.541999999999999993e+01,-2.187500000000675016e-03
1.182879999999999927e+04,4.850463867187500000e+01,3.357499999999999929e+00,1.537999999999999901e+01,1.737421875000000071e+01
1.182889999999999964e+04,4.828491210937500000e+01,2.830000000000000071e+00,1.541000000000000014e+01,1.549187500000000028e+01
1.182900000000000000e+04,4.857788085937500000e+01,2.832500000000000018e+00,1.559999999999999964e+01,1.545304687500000007e+01
1.182910000000000036e+04,4.839477539062500000e+01,2.837499999999999911e+00,1.515000000000000036e+01,1.548531250000000092e+01
1.182920000000000073e+04,5.050048828125000000e+01,2.899999999999999911e+00,1.518999999999999950e+01,1.545796875000000092e+01
1.182929999999999927e+04,5.115966796875000000e+01,2.930000000000000160e+00,1.531000000000000050e+01,1.547820312500000028e+01
1.182939999999999964e+04,5.086669921875000000e+01,2.962499999999999911e+00,1.533000000000000007e+01,1.549132812500000078e+01
1.182950000000000000e+04,5.119628906250000000e+01,2.952500000000000124e+00,1.533000000000000007e+01,1.546070312500000021e+01
1.182960000000000036e+04,5.148925781250000000e+01,2.964999999999999858e+00,1.536999999999999922e+01,1.546398437500000078e+01
1.182970000000000073e+04,5.465698242187500000e+01,2.950000000000000178e+00,1.542999999999999972e+01,1.540054687500000163e+01
1.182979999999999927e+04,5.489501953125000000e+01,3.007499999999999840e+00,1.531000000000000050e+01,1.553453125000000057e+01
1.182989999999999964e+04,5.458374023437500000e+01,2.995000000000000107e+00,1.531000000000000050e+01,1.548367187500000064e+01
1.183000000000000000e+04,5.489501953125000000e+01,3.012500000000000178e+00,1.528999999999999915e+01,1.547164062500000092e+01
1.183010000000000036e+04,5.866699218750000000e+01,2.987499999999999822e+00,1.541000000000000014e+01,1.538578125000000085e+01
1.183020000000000073e+04,5.939941406250000000e+01,3.012500000000000178e+00,1.527999999999999936e+01,1.548531250000000092e+01
1.183029999999999927e+04,5.950927734375000000e+01,2.997500000000000053e+00,1.548000000000000043e+01,1.548531250000000092e+01
1.183039999999999964e+04,5.916137695312500000e+01,3.089999999999999858e+00,1.517999999999999972e+01,1.549460937500000135e+01
1.183050000000000000e+04,6.170654296875000000e+01,3.075000000000000178e+00,1.519999999999999929e+01,1.545304687500000007e+01
1.183060000000000036e+04,6.350097656250000000e+01,3.047499999999999876e+00,1.535999999999999943e+01,1.544757812500000149e+01
1.183070000000000073e+04,6.375732421875000000e+01,3.064999999999999947e+00,1.539000000000000057e+01,1.549023437500000000e+01
1.183079999999999927e+04,6.381225585937500000e+01,3.075000000000000178e+00,1.534999999999999964e+01,1.547656250000000000e+01
1.183089999999999964e+04,6.346435546875000000e+01,3.109999999999999876e+00,1.541000000000000014e+01,1.547382812500000071e+01
1.183100000000000000e+04,6.714477539062500000e+01,3.084999999999999964e+00,1.516000000000000014e+01,1.544156250000000163e+01
1.183110000000000036e+04,6.703491210937500000e+01,3.089999999999999858e+00,1.523000000000000043e+01,1.549515625000000085e+01
1.183120000000000073e+04,6.725463867187500000e+01,3.097500000000000142e+00,1.522000000000000064e+01,1.546125000000000149e+01
1.183129999999999927e+04,6.734619140625000000e+01,3.172499999999999876e+00,1.532000000000000028e+01,1.546835937500000036e+01
1.183139999999999964e+04,6.925048828125000000e+01,3.174999999999999822e+00,1.535999999999999943e+01,1.550171875000000021e+01
1.183150000000000000e+04,7.044067382812500000e+01,2.955000000000000071e+00,1.549000000000000021e+01,1.547218750000000043e+01
1.183160000000000036e+04,7.012939453125000000e+01,3.192499999999999893e+00,1.517999999999999972e+01,1.548093750000000135e+01
1.183170000000000073e+04,7.036743164062500000e+01,3.167499999999999982e+00,1.534999999999999964e+01,1.543882812500000057e+01
1.183179999999999927e+04,7.060546875000000000e+01,3.205000000000000071e+00,1.542999999999999972e+01,1.544539062499999993e+01
1.183189999999999964e+04,7.271118164062500000e+01,3.149999999999999911e+00,1.544999999999999929e+01,1.552851562500000071e+01
1.183200000000000000e+04,7.327880859375000000e+01,3.177500000000000213e+00,1.547000000000000064e+01,1.552195312500000135e+01
1.183210000000000036e+04,7.289428710937500000e+01,3.200000000000000178e+00,1.539000000000000057e+01,1.547601562500000050e+01
1.183220000000000073e+04,7.315063476562500000e+01,3.217499999999999805e+00,1.539000000000000057e+01,1.545796875000000092e+01
1.183229999999999927e+04,7.540283203125000000e+01,3.242500000000000160e+00,1.528999999999999915e+01,1.541476562500000114e+01
1.183239999999999964e+04,7.542114257812500000e+01,3.234999999999999876e+00,1.529999999999999893e+01,1.549679687500000114e+01
1.183250000000000000e+04,7.586059570312500000e+01,3.209999999999999964e+00,1.525000000000000000e+01,1.544921875000000000e+01
1.183260000000000036e+04,7.549438476562500000e+01,3.237499999999999822e+00,1.545999999999999908e+01,1.545304687500000007e+01
1.183270000000000073e+04,7.683105468750000000e+01,3.267500000000000071e+00,1.552999999999999936e+01,1.550992187500000163e+01
1.183279999999999927e+04,7.818603515625000000e+01,3.272499999999999964e+00,1.525000000000000000e+01,1.549625000000000163e+01
1.183289999999999964e+04,7.781982421875000000e+01,3.229999999999999982e+00,1.519999999999999929e+01,1.547218750000000043e+01
1.183300000000000000e+04,7.831420898437500000e+01,3.294999999999999929e+00,1.544999999999999929e+01,1.548804687500000021e+01
1.183310000000000036e+04,7.792968750000000000e+01,3.310000000000000053e+00,1.534999999999999964e+01,1.546234375000000050e+01
1.183320000000000073e+04,8.031005859375000000e+01,3.325000000000000178e+00,1.523000000000000043e+01,1.548476562500000142e+01
1.183329999999999927e+04,8.052978515625000000e+01,3.307500000000000107e+00,1.524000000000000021e+01,1.549023437500000000e+01
1.183339999999999964e+04,8.016357421875000000e+01,3.330000000000000071e+00,1.553999999999999915e+01,1.542515625000000057e+01
1.183350000000000000e+04,8.063964843750000000e+01,3.334999999999999964e+00,1.537999999999999901e+01,1.545304687500000007e+01
1.183360000000000036e+04,8.166503906250000000e+01,3.339999999999999858e+00,1.543999999999999950e+01,1.551046875000000114e+01
1.183370000000000073e+04,8.258056640625000000e+01,3.327500000000000124e+00,1.545999999999999908e+01,1.545250000000000057e+01
1.183379999999999927e+04,8.261718750000000000e+01,3.357499999999999929e+00,1.540000000000000036e+01,1.547929687500000107e+01
1.183389999999999964e+04,8.223266601562500000e+01,3.367500000000000160e+00,1.548000000000000043e+01,1.548203125000000036e+01
1.183400000000000000e+04,8.291015625000000000e+01,3.402499999999999858e+00,1.517999999999999972e+01,1.537921875000000149e+01
1.183410000000000036e+04,8.428344726562500000e+01,3.402499999999999858e+00,1.515000000000000036e+01,1.546562500000000107e+01
1.183420000000000073e+04,8.470458984375000000e+01,3.384999999999999787e+00,1.529999999999999893e+01,1.544921875000000000e+01
1.183429999999999927e+04,8.472290039062500000e+01,3.392500000000000071e+00,1.528999999999999915e+01,1.543117187500000043e+01
1.183439999999999964e+04,8.433837890625000000e+01,3.417499999999999982e+00,1.537999999999999901e+01,1.551046875000000114e+01
1.183450000000000000e+04,8.649902343750000000e+01,3.379999999999999893e+00,1.533999999999999986e+01,1.546015625000000071e+01
1.183460000000000036e+04,8.635253906250000000e+01,3.399999999999999911e+00,1.545999999999999908e+01,1.549406250000000007e+01
1.183470000000000073e+04,8.668212890625000000e+01,3.407500000000000195e+00,1.531000000000000050e+01,1.548148437500000085e+01
1.183479999999999927e+04,8.671875000000000000e+01,3.430000000000000160e+00,1.539000000000000057e+01,1.546398437500000078e+01
1.183489999999999964e+04,8.724975585937500000e+01,3.464999999999999858e+00,1.542999999999999972e+01,1.550117187500000071e+01
1.183500000000000000e+04,8.876953125000000000e+01,3.470000000000000195e+00,1.519999999999999929e+01,1.544320312500000014e+01
1.183510000000000036e+04,8.834838867187500000e+01,3.462499999999999911e+00,1.547000000000000064e+01,1.553125000000000000e+01
1.183520000000000073e+04,8.867797851562500000e+01,3.455000000000000071e+00,1.547000000000000064e+01,1.548968750000000050e+01
1.183529999999999927e+04,8.871459960937500000e+01,3.464999999999999858e+00,1.533999999999999986e+01,1.548968750000000050e+01
1.183539999999999964e+04,9.008789062500000000e+01,3.464999999999999858e+00,1.550999999999999979e+01,1.545687500000000014e+01
1.183550000000000000e+04,9.072875976562500000e+01,3.502499999999999947e+00,1.533999999999999986e+01,1.552742187499999993e+01
1.183560000000000036e+04,9.023437500000000000e+01,3.509999999999999787e+00,1.531000000000000050e+01,1.543937500000000007e+01
1.183570000000000073e+04,9.060058593750000000e+01,3.570000000000000284e+00,1.575000000000000000e+01,1.547546875000000099e+01
1.183579999999999927e+04,9.201049804687500000e+01,3.527499999999999858e+00,1.543999999999999950e+01,1.544593750000000121e+01
1.183589999999999964e+04,9.213867187500000000e+01,3.547499999999999876e+00,1.545999999999999908e+01,1.551976562500000156e+01
1.183600000000000000e+04,9.265136718750000000e+01,3.507500000000000284e+00,1.548000000000000043e+01,1.545742187500000142e+01
1.183610000000000036e+04,9.215698242187500000e+01,3.464999999999999858e+00,1.535999999999999943e+01,1.544429687500000092e+01
1.183620000000000073e+04,9.274291992187500000e+01,3.557500000000000107e+00,1.542999999999999972e+01,1.548039062500000007e+01
1.183629999999999927e+04,9.437255859375000000e+01,3.592500000000000249e+00,1.534999999999999964e+01,1.552960937500000149e+01
1.183639999999999964e+04,9.406127929687500000e+01,3.580000000000000071e+00,1.535999999999999943e+01,1.542843750000000114e+01
1.183650000000000000e+04,9.455566406250000000e+01,3.564999999999999947e+00,1.525999999999999979e+01,1.553289062500000028e+01
1.183660000000000036e+04,9.402465820312500000e+01,3.592500000000000249e+00,1.526999999999999957e+01,1.550171875000000021e+01
1.183670000000000073e+04,9.594726562500000000e+01,3.620000000000000107e+00,1.550000000000000000e+01,1.549187500000000028e+01
1.183679999999999927e+04,9.620361328125000000e+01,3.609999999999999876e+00,1.556000000000000050e+01,1.550445312500000128e+01
1.183689999999999964e+04,9.587402343750000000e+01,3.612499999999999822e+00,1.548000000000000043e+01,1.550554687500000028e+01
1.183700000000000000e+04,9.636840820312500000e+01,3.609999999999999876e+00,1.540000000000000036e+01,1.548257812500000163e+01
1.183710000000000036e+04,9.666137695312500000e+01,3.640000000000000124e+00,1.539000000000000057e+01,1.549570312500000036e+01
1.183720000000000073e+04,9.799804687500000000e+01,3.662500000000000089e+00,1.542999999999999972e+01,1.543828125000000107e+01
1.183729999999999927e+04,9.803466796875000000e+01,3.669999999999999929e+00,1.536999999999999922e+01,1.545906249999999993e+01
1.183739999999999964e+04,9.763183593750000000e+01,3.702500000000000124e+00,1.533999999999999986e+01,1.544484375000000043e+01
1.183750000000000000e+04,9.818115234375000000e+01,3.667499999999999982e+00,1.531000000000000050e+01,1.548859375000000149e+01
1.183760000000000036e+04,9.927978515625000000e+01,3.645000000000000018e+00,1.520999999999999908e+01,1.549132812500000078e+01
1.183770000000000073e+04,9.984741210937500000e+01,3.697499999999999787e+00,1.549000000000000021e+01,1.549625000000000163e+01
1.183779999999999927e+04,9.982910156250000000e+01,3.680000000000000160e+00,1.548000000000000043e+01,1.549187500000000028e+01
1.183789999999999964e+04,9.948120117187500000e+01,3.705000000000000071e+00,1.543999999999999950e+01,1.544976562500000128e+01
1.183800000000000000e+04,1.012756347656250000e+02,3.680000000000000160e+00,1.528999999999999915e+01,1.543171874999999993e+01
1.183810000000000036e+04,1.012023925781250000e+02,3.719999999999999751e+00,1.520999999999999908e+01,1.552195312500000135e+01
1.183820000000000073e+04,1.016601562500000000e+02,3.752499999999999947e+00,1.524000000000000021e+01,1.544320312500000014e+01
1.183829999999999927e+04,1.016235351562500000e+02,3.754999999999999893e+00,1.523000000000000043e+01,1.543226562500000121e+01
1.183839999999999964e+04,1.016235351562500000e+02,3.757500000000000284e+00,1.533000000000000007e+01,1.544539062499999993e+01
