time,temperature,ch1,ch3,ch5
1.224670000000000073e+04,4.822998046875000000e+01,5.562500000000003553e-02,1.541999999999999993e+01,-1.203125000000060396e-02
1.224679999999999927e+04,4.821166992187500000e+01,5.562500000000003553e-02,1.523000000000000043e+01,-4.210937500000078160e-02
1.224689999999999964e+04,4.804687500000000000e+01,2.062499999999989342e-02,1.545999999999999908e+01,-4.156250000000039080e-02
1.224700000000000000e+04,5.004272460937500000e+01,4.816250000000000142e+00,1.549000000000000021e+01,2.186460937500000057e+01
1.224710000000000036e+04,4.989624023437500000e+01,2.854999999999999982e+00,1.534999999999999964e+01,1.550937500000000036e+01
1.224720000000000073e+04,5.015258789062500000e+01,2.887500000000000178e+00,1.532000000000000028e+01,1.548312500000000114e+01
1.224729999999999927e+04,5.009765625000000000e+01,2.935000000000000053e+00,1.525999999999999979e+01,1.547000000000000064e+01
1.224739999999999964e+04,5.202026367187500000e+01,2.937500000000000000e+00,1.517999999999999972e+01,1.542515625000000057e+01
1.224750000000000000e+04,5.335693359375000000e+01,2.939999999999999947e+00,1.547000000000000064e+01,1.544484375000000043e+01
1.224760000000000036e+04,5.304565429687500000e+01,2.947499999999999787e+00,1.540000000000000036e+01,1.547000000000000064e+01
1.224770000000000073e+04,5.335693359375000000e+01,2.962499999999999911e+00,1.516000000000000014e+01,1.545851562500000043e+01
1.224779999999999927e+04,5.339355468750000000e+01,2.924999999999999822e+00,1.550000000000000000e+01,1.544539062499999993e+01
1.224789999999999964e+04,5.718383789062500000e+01,2.987499999999999822e+00,1.533999999999999986e+01,1.547984375000000057e+01
1.224800000000000000e+04,5.760498046875000000e+01,3.017500000000000071e+00,1.508999999999999986e+01,1.547601562500000050e+01
1.224810000000000036e+04,5.723876953125000000e+01,3.032500000000000195e+00,1.524000000000000021e+01,1.538359375000000107e+01
1.224820000000000073e+04,5.756835937500000000e+01,3.044999999999999929e+00,1.509999999999999964e+01,1.545632812500000064e+01
1.224829999999999927e+04,6.128540039062500000e+01,3.022499999999999964e+00,1.532000000000000028e+01,1.548203125000000036e+01
1.224839999999999964e+04,6.210937500000000000e+01,3.077500000000000124e+00,1.520999999999999908e+01,1.541039062500000156e+01
1.224850000000000000e+04,6.245727539062500000e+01,3.077500000000000124e+00,1.529999999999999893e+01,1.548039062500000007e+01
1.224860000000000036e+04,6.201782226562500000e+01,3.062500000000000000e+00,1.515000000000000036e+01,1.545906249999999993e+01
1.224870000000000073e+04,6.346435546875000000e+01,3.080000000000000071e+00,1.537999999999999901e+01,1.540492187500000121e+01
1.224879999999999927e+04,6.613769531250000000e+01,3.089999999999999858e+00,1.519999999999999929e+01,1.549625000000000163e+01
1.224889999999999964e+04,6.608276367187500000e+01,3.095000000000000195e+00,1.526999999999999957e+01,1.543390625000000149e+01
1.224900000000000000e+04,6.639404296875000000e+01,3.122500000000000053e+00,1.524000000000000021e+01,1.545578125000000114e+01
1.224910000000000036e+04,6.591796875000000000e+01,3.149999999999999911e+00,1.544999999999999929e+01,1.549460937500000135e+01
1.224920000000000073e+04,6.926879882812500000e+01,3.132499999999999840e+00,1.529999999999999893e+01,1.544429687500000092e+01
1.224929999999999927e+04,6.952514648437500000e+01,3.142500000000000071e+00,1.531000000000000050e+01,1.543226562500000121e+01
1.224939999999999964e+04,6.943359375000000000e+01,3.202500000000000124e+00,1.526999999999999957e+01,1.547492187500000149e+01
1.224950000000000000e+04,6.967163085937500000e+01,3.165000000000000036e+00,1.549000000000000021e+01,1.547328125000000121e+01
1.224960000000000036e+04,7.100830078125000000e+01,3.182500000000000107e+00,1.533000000000000007e+01,1.547492187500000149e+01
1.224970000000000073e+04,7.256469726562500000e+01,3.197499999999999787e+00,1.547000000000000064e+01,1.546562500000000107e+01
1.224979999999999927e+04,7.250976562500000000e+01,3.172499999999999876e+00,1.507000000000000028e+01,1.546453125000000028e+01
1.224989999999999964e+04,7.238159179687500000e+01,3.205000000000000071e+00,1.540000000000000036e+01,1.546398437500000078e+01
1.225000000000000000e+04,7.269287109375000000e+01,3.217499999999999805e+00,1.511999999999999922e+01,1.543171874999999993e+01
1.225010000000000036e+04,7.474365234375000000e+01,3.245000000000000107e+00,1.523000000000000043e+01,1.545468750000000036e+01
1.225020000000000073e+04,7.534790039062500000e+01,3.222500000000000142e+00,1.542999999999999972e+01,1.546015625000000071e+01
1.225029999999999927e+04,7.521972656250000000e+01,3.282500000000000195e+00,1.533999999999999986e+01,1.545031250000000078e+01
1.225039999999999964e+04,7.507324218750000000e+01,3.254999999999999893e+00,1.537999999999999901e+01,1.542515625000000057e+01
1.225050000000000000e+04,7.736206054687500000e+01,3.297499999999999876e+00,1.512999999999999901e+01,1.548257812500000163e+01
1.225060000000000036e+04,7.738037109375000000e+01,3.242500000000000160e+00,1.551999999999999957e+01,1.546507812500000156e+01
1.225070000000000073e+04,7.783813476562500000e+01,3.232499999999999929e+00,1.529999999999999893e+01,1.543609375000000128e+01
1.225079999999999927e+04,7.772827148437500000e+01,3.302500000000000213e+00,1.531000000000000050e+01,1.545359375000000135e+01
1.225089999999999964e+04,7.827758789062500000e+01,3.287500000000000089e+00,1.532000000000000028e+01,1.549023437500000000e+01
1.225100000000000000e+04,8.023681640625000000e+01,3.319999999999999840e+00,1.517999999999999972e+01,1.546507812500000156e+01
1.225110000000000036e+04,7.977905273437500000e+01,3.330000000000000071e+00,1.537999999999999901e+01,1.549789062500000014e+01
1.225120000000000073e+04,8.027343750000000000e+01,3.312500000000000000e+00,1.541999999999999993e+01,1.540820312500000000e+01
1.225129999999999927e+04,8.012695312500000000e+01,3.594999999999999751e+00,1.547000000000000064e+01,1.552250000000000085e+01
1.225139999999999964e+04,8.208618164062500000e+01,3.345000000000000195e+00,1.525000000000000000e+01,1.545414062500000085e+01
1.225150000000000000e+04,8.261718750000000000e+01,3.379999999999999893e+00,1.542999999999999972e+01,1.543281250000000071e+01
1.225160000000000036e+04,8.208618164062500000e+01,3.337499999999999911e+00,1.526999999999999957e+01,1.545359375000000135e+01
1.225170000000000073e+04,8.256225585937500000e+01,3.384999999999999787e+00,1.528999999999999915e+01,1.547437500000000021e+01
1.225179999999999927e+04,8.377075195312500000e+01,3.405000000000000249e+00,1.529999999999999893e+01,1.542023437500000149e+01
1.225189999999999964e+04,8.450317382812500000e+01,3.402499999999999858e+00,1.550999999999999979e+01,1.541203125000000007e+01
1.225200000000000000e+04,8.483276367187500000e+01,3.419999999999999929e+00,1.535999999999999943e+01,1.542789062500000163e+01
1.225210000000000036e+04,8.426513671875000000e+01,3.424999999999999822e+00,1.525000000000000000e+01,1.545906249999999993e+01
1.225220000000000073e+04,8.477783203125000000e+01,3.459999999999999964e+00,1.510999999999999943e+01,1.543554687500000000e+01
1.225229999999999927e+04,8.657226562500000000e+01,3.407500000000000195e+00,1.548000000000000043e+01,1.544320312500000014e+01
1.225239999999999964e+04,8.659057617187500000e+01,3.427500000000000213e+00,1.508000000000000007e+01,1.546343750000000128e+01
1.225250000000000000e+04,8.693847656250000000e+01,3.430000000000000160e+00,1.552999999999999936e+01,1.547929687500000107e+01
1.225260000000000036e+04,8.635253906250000000e+01,3.457500000000000018e+00,1.512999999999999901e+01,1.549953125000000043e+01
1.225270000000000073e+04,8.849487304687500000e+01,3.437500000000000000e+00,1.526999999999999957e+01,1.544046875000000085e+01
