device_id,sample_rate_hz,device_group_count_found,device_group_count_processed,group_id,ch1_file,ch3_file,ch5_file,ch1_raw_len,ch3_raw_len,ch5_raw_len,voltage_start_idx,voltage_end_idx,voltage_trim_len,falling_edge_count_all,falling_edges_all,falling_edges_used,temp_peak_count_all,temp_peaks_used_global,temp_peak_idx_global,temp_peak_idx_in_segment,temp_start_idx,temp_end_idx,aligned_len
12,10.0,31,30,16,20251116_PC_16_12_ch1.mat,20251116_PC_16_12_ch3.mat,20251116_PC_16_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",151,"[64095, 64500, 64900, 65305, 65705, 66107, 66507, 66910, 67312, 67717]",64095,155,63940,67958,4018
12,10.0,31,30,17,20251116_PC_17_12_ch1.mat,20251116_PC_17_12_ch3.mat,20251116_PC_17_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",141,"[68277, 68680, 69082, 69485, 69885, 70287, 70687, 71087, 71492, 71897]",68277,155,68122,72140,4018
12,10.0,31,30,18,20251116_PC_18_12_ch1.mat,20251116_PC_18_12_ch3.mat,20251116_PC_18_12_ch5.mat,4048,4048,4048,16,4034,4018,10,"[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3789]","[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3789]",131,"[72457, 72862, 73262, 73662, 74067, 74469, 74872, 75272, 75672, 76077]",72457,155,72302,76320,4018
12,10.0,31,30,19,20251116_PC_19_12_ch1.mat,20251116_PC_19_12_ch3.mat,20251116_PC_19_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",121,"[76642, 77042, 77447, 77849, 78249, 78654, 79054, 79454, 79854, 80259]",76642,155,76487,80505,4018
12,10.0,31,30,20,20251116_PC_20_12_ch1.mat,20251116_PC_20_12_ch3.mat,20251116_PC_20_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",111,"[80819, 81224, 81624, 82029, 82429, 82829, 83234, 83634, 84039, 84439]",80819,155,80664,84682,4018
12,10.0,31,30,21,20251116_PC_21_12_ch1.mat,20251116_PC_21_12_ch3.mat,20251116_PC_21_12_ch5.mat,4048,4048,4048,11,4029,4018,10,"[166, 568, 970, 1372, 1774, 2176, 2578, 2980, 3382, 3784]","[166, 568, 970, 1372, 1774, 2176, 2578, 2980, 3382, 3784]",101,"[84974, 85374, 85779, 86179, 86584, 86984, 87389, 87789, 88189, 88594]",84974,155,84819,88837,4018
12,10.0,31,30,22,20251116_PC_22_12_ch1.mat,20251116_PC_22_12_ch3.mat,20251116_PC_22_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",91,"[89164, 89564, 89969, 90371, 90771, 91171, 91574, 91976, 92376, 92781]",89164,155,89009,93027,4018
12,10.0,31,30,23,20251116_PC_23_12_ch1.mat,20251116_PC_23_12_ch3.mat,20251116_PC_23_12_ch5.mat,4048,4048,4048,12,4030,4018,10,"[167, 569, 971, 1373, 1775, 2177, 2579, 2981, 3383, 3785]","[167, 569, 971, 1373, 1775, 2177, 2579, 2981, 3383, 3785]",81,"[93346, 93746, 94151, 94551, 94954, 95356, 95761, 96161, 96561, 96966]",93346,155,93191,97209,4018
12,10.0,31,30,24,20251116_PC_24_12_ch1.mat,20251116_PC_24_12_ch3.mat,20251116_PC_24_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",71,"[97531, 97936, 98336, 98741, 99143, 99543, 99946, 100348, 100748, 101153]",97531,155,97376,101394,4018
12,10.0,31,30,25,20251116_PC_25_12_ch1.mat,20251116_PC_25_12_ch3.mat,20251116_PC_25_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",61,"[101713, 102113, 102518, 102918, 103321, 103726, 104128, 104528, 104933, 105333]",101713,155,101558,105576,4018
12,10.0,31,30,26,20251116_PC_26_12_ch1.mat,20251116_PC_26_12_ch3.mat,20251116_PC_26_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",51,"[105893, 106298, 106698, 107103, 107503, 107903, 108308, 108710, 109110, 109513]",105893,155,105738,109756,4018
12,10.0,31,30,27,20251116_PC_27_12_ch1.mat,20251116_PC_27_12_ch3.mat,20251116_PC_27_12_ch5.mat,4048,4048,4048,17,4035,4018,10,"[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]","[172, 574, 976, 1378, 1780, 2182, 2584, 2986, 3388, 3790]",41,"[110075, 110480, 110880, 111280, 111685, 112088, 112488, 112890, 113295, 113695]",110075,155,109920,113938,4018
12,10.0,31,30,28,20251116_PC_28_12_ch1.mat,20251116_PC_28_12_ch3.mat,20251116_PC_28_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",31,"[114255, 114660, 115060, 115465, 115865, 116270, 116670, 117070, 117475, 117877]",114255,155,114100,118118,4018
12,10.0,31,30,29,20251116_PC_29_12_ch1.mat,20251116_PC_29_12_ch3.mat,20251116_PC_29_12_ch5.mat,4048,4048,4048,18,4036,4018,10,"[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]","[173, 575, 977, 1379, 1781, 2183, 2585, 2987, 3389, 3791]",21,"[118440, 118840, 119247, 119647, 120047, 120452, 120852, 121255, 121657, 122057]",118440,155,118285,122303,4018
12,10.0,31,30,30,20251116_PC_30_12_ch1.mat,20251116_PC_30_12_ch3.mat,20251116_PC_30_12_ch5.mat,4048,4048,4048,16,3963,3947,10,"[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3718]","[171, 573, 975, 1377, 1779, 2181, 2583, 2985, 3387, 3718]",11,"[122622, 123022, 123425, 123827, 124227, 124632, 125035, 125434, 125832, 126167]",122622,155,122467,126414,3947
