time,temperature,ch1,ch3,ch5
1.099200000000000000e+04,4.663696289062500000e+01,5.812499999999998224e-02,1.539000000000000057e+01,-7.765625000000042633e-02
1.099210000000000036e+04,4.665527343750000000e+01,7.062500000000015987e-02,1.515000000000000036e+01,4.374999999999573674e-03
1.099220000000000073e+04,4.663696289062500000e+01,2.062499999999989342e-02,1.540000000000000036e+01,-4.101562500000088818e-02
1.099229999999999927e+04,4.736938476562500000e+01,2.814999999999999947e+00,1.541000000000000014e+01,1.543500000000000050e+01
1.099239999999999964e+04,4.718627929687500000e+01,2.852500000000000036e+00,1.543999999999999950e+01,1.547437500000000021e+01
1.099250000000000000e+04,4.725952148437500000e+01,2.845000000000000195e+00,1.523000000000000043e+01,1.548968750000000050e+01
1.099260000000000036e+04,4.724121093750000000e+01,2.877499999999999947e+00,1.533999999999999986e+01,1.546507812500000156e+01
1.099270000000000073e+04,4.888916015625000000e+01,2.895000000000000018e+00,1.529999999999999893e+01,1.538359375000000107e+01
1.099279999999999927e+04,4.953002929687500000e+01,2.924999999999999822e+00,1.533000000000000007e+01,1.550882812500000085e+01
1.099289999999999964e+04,4.923706054687500000e+01,2.915000000000000036e+00,1.539000000000000057e+01,1.547218750000000043e+01
1.099300000000000000e+04,4.943847656250000000e+01,2.942499999999999893e+00,1.540000000000000036e+01,1.547546875000000099e+01
1.099310000000000036e+04,5.158081054687500000e+01,2.957500000000000018e+00,1.540000000000000036e+01,1.550007812499999993e+01
1.099320000000000073e+04,5.258789062500000000e+01,2.955000000000000071e+00,1.511999999999999922e+01,1.547546875000000099e+01
1.099329999999999927e+04,5.289916992187500000e+01,2.924999999999999822e+00,1.529999999999999893e+01,1.545195312500000107e+01
1.099339999999999964e+04,5.266113281250000000e+01,2.987499999999999822e+00,1.516000000000000014e+01,1.544812500000000099e+01
1.099350000000000000e+04,5.282592773437500000e+01,2.979999999999999982e+00,1.514000000000000057e+01,1.548914062500000099e+01
1.099360000000000036e+04,5.703735351562500000e+01,2.987499999999999822e+00,1.533999999999999986e+01,1.547820312500000028e+01
1.099370000000000073e+04,5.701904296875000000e+01,3.012500000000000178e+00,1.541000000000000014e+01,1.542789062500000163e+01
1.099379999999999927e+04,5.733032226562500000e+01,3.032500000000000195e+00,1.527999999999999936e+01,1.545578125000000114e+01
1.099389999999999964e+04,5.703735351562500000e+01,3.037500000000000089e+00,1.528999999999999915e+01,1.545250000000000057e+01
1.099400000000000000e+04,6.084594726562500000e+01,3.037500000000000089e+00,1.520999999999999908e+01,1.546671875000000007e+01
1.099410000000000036e+04,6.172485351562500000e+01,3.040000000000000036e+00,1.519999999999999929e+01,1.550171875000000021e+01
1.099420000000000073e+04,6.150512695312500000e+01,3.049999999999999822e+00,1.543999999999999950e+01,1.546234375000000050e+01
1.099429999999999927e+04,6.185302734375000000e+01,3.095000000000000195e+00,1.525999999999999979e+01,1.546945312500000114e+01
1.099439999999999964e+04,6.229248046875000000e+01,3.082500000000000018e+00,1.554999999999999893e+01,1.549460937500000135e+01
1.099450000000000000e+04,6.535034179687500000e+01,3.082500000000000018e+00,1.539000000000000057e+01,1.549734375000000064e+01
1.099460000000000036e+04,6.546020507812500000e+01,3.047499999999999876e+00,1.528999999999999915e+01,1.545796875000000092e+01
1.099470000000000073e+04,6.524047851562500000e+01,3.087499999999999911e+00,1.509999999999999964e+01,1.536882812500000028e+01
1.099479999999999927e+04,6.557006835937500000e+01,3.115000000000000213e+00,1.529999999999999893e+01,1.549078125000000128e+01
1.099489999999999964e+04,6.787719726562500000e+01,3.120000000000000107e+00,1.523000000000000043e+01,1.548859375000000149e+01
1.099500000000000000e+04,6.855468750000000000e+01,3.167499999999999982e+00,1.551999999999999957e+01,1.547984375000000057e+01
1.099510000000000036e+04,6.860961914062500000e+01,3.120000000000000107e+00,1.524000000000000021e+01,1.549242187500000156e+01
1.099520000000000073e+04,6.835327148437500000e+01,3.142500000000000071e+00,1.528999999999999915e+01,1.546726562500000135e+01
1.099529999999999927e+04,7.033081054687500000e+01,3.134999999999999787e+00,1.512999999999999901e+01,1.542078125000000099e+01
1.099539999999999964e+04,7.111816406250000000e+01,3.129999999999999893e+00,1.545999999999999908e+01,1.544648437500000071e+01
1.099550000000000000e+04,7.150268554687500000e+01,3.145000000000000018e+00,1.552999999999999936e+01,1.546507812500000156e+01
1.099560000000000036e+04,7.150268554687500000e+01,3.194999999999999840e+00,1.514000000000000057e+01,1.542898437500000064e+01
1.099570000000000073e+04,7.124633789062500000e+01,3.162500000000000089e+00,1.533000000000000007e+01,1.546890625000000163e+01
1.099579999999999927e+04,7.404785156250000000e+01,3.177500000000000213e+00,1.522000000000000064e+01,1.546617187500000057e+01
1.099589999999999964e+04,7.377319335937500000e+01,3.202500000000000124e+00,1.525000000000000000e+01,1.549078125000000128e+01
1.099600000000000000e+04,7.408447265625000000e+01,3.227500000000000036e+00,1.524000000000000021e+01,1.546781250000000085e+01
1.099610000000000036e+04,7.408447265625000000e+01,3.202500000000000124e+00,1.539000000000000057e+01,1.546289062500000000e+01
1.099620000000000073e+04,7.567749023437500000e+01,3.202500000000000124e+00,1.533000000000000007e+01,1.547765625000000078e+01
1.099629999999999927e+04,7.657470703125000000e+01,3.240000000000000213e+00,1.526999999999999957e+01,1.545359375000000135e+01
1.099639999999999964e+04,7.613525390625000000e+01,3.240000000000000213e+00,1.518999999999999950e+01,1.550007812499999993e+01
1.099650000000000000e+04,7.650146484375000000e+01,3.242500000000000160e+00,1.526999999999999957e+01,1.549242187500000156e+01
1.099660000000000036e+04,7.701416015625000000e+01,3.245000000000000107e+00,1.541000000000000014e+01,1.551156250000000014e+01
1.099670000000000073e+04,7.836914062500000000e+01,3.267500000000000071e+00,1.531000000000000050e+01,1.549406250000000007e+01
1.099679999999999927e+04,7.884521484375000000e+01,3.267500000000000071e+00,1.552999999999999936e+01,1.547710937500000128e+01
1.099689999999999964e+04,7.833251953125000000e+01,3.270000000000000018e+00,1.541000000000000014e+01,1.547820312500000028e+01
1.099700000000000000e+04,7.871704101562500000e+01,3.265000000000000124e+00,1.539000000000000057e+01,1.545960937500000121e+01
1.099710000000000036e+04,8.062133789062500000e+01,3.305000000000000160e+00,1.529999999999999893e+01,1.550882812500000085e+01
1.099720000000000073e+04,8.060302734375000000e+01,3.287500000000000089e+00,1.532000000000000028e+01,1.548093750000000135e+01
1.099729999999999927e+04,8.104248046875000000e+01,3.327500000000000124e+00,1.539000000000000057e+01,1.544812500000000099e+01
1.099739999999999964e+04,8.049316406250000000e+01,3.317499999999999893e+00,1.543999999999999950e+01,1.553453125000000057e+01
1.099750000000000000e+04,8.203125000000000000e+01,3.325000000000000178e+00,1.526999999999999957e+01,1.545851562500000043e+01
1.099760000000000036e+04,8.294677734375000000e+01,3.327500000000000124e+00,1.525999999999999979e+01,1.547164062500000092e+01
1.099770000000000073e+04,8.274536132812500000e+01,3.352500000000000036e+00,1.525000000000000000e+01,1.548968750000000050e+01
1.099779999999999927e+04,8.312988281250000000e+01,3.342500000000000249e+00,1.535999999999999943e+01,1.547710937500000128e+01
1.099789999999999964e+04,8.263549804687500000e+01,3.307500000000000107e+00,1.529999999999999893e+01,1.547218750000000043e+01
1.099800000000000000e+04,8.490600585937500000e+01,3.375000000000000000e+00,1.526999999999999957e+01,1.547164062500000092e+01
1.099810000000000036e+04,8.499755859375000000e+01,3.354999999999999982e+00,1.500000000000000000e+01,1.547437500000000021e+01
1.099820000000000073e+04,8.475952148437500000e+01,3.377499999999999947e+00,1.529999999999999893e+01,1.548421875000000014e+01
1.099829999999999927e+04,8.514404296875000000e+01,3.379999999999999893e+00,1.535999999999999943e+01,1.544265625000000064e+01
1.099839999999999964e+04,8.600463867187500000e+01,3.412500000000000089e+00,1.539000000000000057e+01,1.547875000000000156e+01
1.099850000000000000e+04,8.692016601562500000e+01,3.042499999999999982e+00,1.522000000000000064e+01,1.544921875000000000e+01
1.099860000000000036e+04,8.684692382812500000e+01,3.395000000000000018e+00,1.532000000000000028e+01,1.549296875000000107e+01
1.099870000000000073e+04,8.660888671875000000e+01,3.402499999999999858e+00,1.561999999999999922e+01,1.549570312500000036e+01
1.099879999999999927e+04,8.734130859375000000e+01,3.407500000000000195e+00,1.527999999999999936e+01,1.549132812500000078e+01
1.099889999999999964e+04,8.834838867187500000e+01,3.379999999999999893e+00,1.527999999999999936e+01,1.548148437500000085e+01
1.099900000000000000e+04,8.886108398437500000e+01,3.419999999999999929e+00,1.520999999999999908e+01,1.543992187500000135e+01
1.099910000000000036e+04,8.876953125000000000e+01,3.417499999999999982e+00,1.535999999999999943e+01,1.548531250000000092e+01
1.099920000000000073e+04,8.854980468750000000e+01,3.422499999999999876e+00,1.547000000000000064e+01,1.552742187499999993e+01
1.099929999999999927e+04,9.052734375000000000e+01,3.452500000000000124e+00,1.541000000000000014e+01,1.543445312500000099e+01
1.099939999999999964e+04,9.017944335937500000e+01,3.467500000000000249e+00,1.527999999999999936e+01,1.550500000000000078e+01
1.099950000000000000e+04,9.067382812500000000e+01,3.464999999999999858e+00,1.519999999999999929e+01,1.547765625000000078e+01
1.099960000000000036e+04,9.061889648437500000e+01,3.472500000000000142e+00,1.531000000000000050e+01,1.547601562500000050e+01
1.099970000000000073e+04,9.135131835937500000e+01,3.502499999999999947e+00,1.529999999999999893e+01,1.542625000000000135e+01
1.099979999999999927e+04,9.265136718750000000e+01,3.484999999999999876e+00,1.548000000000000043e+01,1.540820312500000000e+01
1.099989999999999964e+04,9.208374023437500000e+01,3.515000000000000124e+00,1.537999999999999901e+01,1.548093750000000135e+01
1.100000000000000000e+04,9.257812500000000000e+01,3.512500000000000178e+00,1.540000000000000036e+01,1.548585937500000043e+01
1.100010000000000036e+04,9.252319335937500000e+01,3.527499999999999858e+00,1.531000000000000050e+01,1.547546875000000099e+01
1.100020000000000073e+04,9.385986328125000000e+01,3.512500000000000178e+00,1.528999999999999915e+01,1.541750000000000043e+01
1.100029999999999927e+04,9.437255859375000000e+01,3.520000000000000018e+00,1.533999999999999986e+01,1.555421875000000043e+01
