time,temperature,ch1,ch3,ch5
3.470000000000000000e+03,4.716796875000000000e+01,3.812499999999996447e-02,1.565750000000000064e+01,-5.742187500000106581e-02
3.470099999999999909e+03,4.698486328125000000e+01,6.062499999999992895e-02,1.564749999999999908e+01,-8.039062500000060396e-02
3.470199999999999818e+03,4.802856445312500000e+01,-4.375000000000017764e-03,1.558750000000000036e+01,-9.078125000000092371e-02
3.470300000000000182e+03,4.839477539062500000e+01,4.412499999999999645e+00,1.560749999999999993e+01,2.123351562500000256e+01
3.470400000000000091e+03,4.819335937500000000e+01,2.794999999999999929e+00,1.559500000000000064e+01,1.549078125000000128e+01
3.470500000000000000e+03,4.846801757812500000e+01,2.799999999999999822e+00,1.562500000000000000e+01,1.544703125000000021e+01
3.470599999999999909e+03,4.866943359375000000e+01,2.819999999999999840e+00,1.575999999999999979e+01,1.550882812500000085e+01
3.470699999999999818e+03,5.104980468750000000e+01,2.792499999999999982e+00,1.543750000000000000e+01,1.549515625000000085e+01
3.470800000000000182e+03,5.126953125000000000e+01,2.834999999999999964e+00,1.550499999999999901e+01,1.552085937500000057e+01
3.470900000000000091e+03,5.095825195312500000e+01,2.834999999999999964e+00,1.542750000000000021e+01,1.546070312500000021e+01
3.471000000000000000e+03,5.132446289062500000e+01,2.842499999999999805e+00,1.553749999999999964e+01,1.546453125000000028e+01
3.471099999999999909e+03,5.425415039062500000e+01,2.897499999999999964e+00,1.561999999999999922e+01,1.546070312500000021e+01
3.471199999999999818e+03,5.494995117187500000e+01,2.890000000000000124e+00,1.533999999999999986e+01,1.545085937500000028e+01
3.471300000000000182e+03,5.507812500000000000e+01,2.917499999999999982e+00,1.568999999999999950e+01,1.543828125000000107e+01
3.471400000000000091e+03,5.474853515625000000e+01,2.902499999999999858e+00,1.548000000000000043e+01,1.540164062500000064e+01
3.471500000000000000e+03,5.714721679687500000e+01,2.879999999999999893e+00,1.572749999999999915e+01,1.546890625000000163e+01
3.471599999999999909e+03,5.943603515625000000e+01,2.947499999999999787e+00,1.573000000000000043e+01,1.547000000000000064e+01
3.471699999999999818e+03,5.972900390625000000e+01,2.919999999999999929e+00,1.574499999999999922e+01,1.543882812500000057e+01
3.471800000000000182e+03,5.978393554687500000e+01,2.950000000000000178e+00,1.564000000000000057e+01,1.542953125000000014e+01
3.471900000000000091e+03,5.949096679687500000e+01,2.930000000000000160e+00,1.593750000000000000e+01,1.547328125000000121e+01
3.472000000000000000e+03,6.372070312500000000e+01,2.947499999999999787e+00,1.567750000000000021e+01,1.545195312500000107e+01
3.472099999999999909e+03,6.372070312500000000e+01,2.972500000000000142e+00,1.563749999999999929e+01,1.551976562500000156e+01
3.472199999999999818e+03,6.397705078125000000e+01,2.992500000000000160e+00,1.552999999999999936e+01,1.549242187500000156e+01
3.472300000000000182e+03,6.399536132812500000e+01,2.990000000000000213e+00,1.550000000000000000e+01,1.541148437500000057e+01
3.472400000000000091e+03,6.606445312500000000e+01,3.000000000000000000e+00,1.546499999999999986e+01,1.542406250000000156e+01
3.472500000000000000e+03,6.741943359375000000e+01,2.997500000000000053e+00,1.556000000000000050e+01,1.545578125000000114e+01
3.472599999999999909e+03,6.710815429687500000e+01,2.984999999999999876e+00,1.547000000000000064e+01,1.543171874999999993e+01
3.472699999999999818e+03,6.734619140625000000e+01,3.022499999999999964e+00,1.559500000000000064e+01,1.549515625000000085e+01
3.472800000000000182e+03,6.738281250000000000e+01,3.057500000000000107e+00,1.560749999999999993e+01,1.547656250000000000e+01
3.472900000000000091e+03,6.998291015625000000e+01,3.052500000000000213e+00,1.570999999999999908e+01,1.548421875000000014e+01
3.473000000000000000e+03,7.055053710937500000e+01,3.024999999999999911e+00,1.574000000000000021e+01,1.551703125000000050e+01
3.473099999999999909e+03,7.016601562500000000e+01,3.040000000000000036e+00,1.570999999999999908e+01,1.551703125000000050e+01
3.473199999999999818e+03,7.042236328125000000e+01,3.060000000000000053e+00,1.545999999999999908e+01,1.543718750000000028e+01
3.473300000000000182e+03,7.272949218750000000e+01,3.072499999999999787e+00,1.562999999999999901e+01,1.546015625000000071e+01
3.473400000000000091e+03,7.283935546875000000e+01,3.062500000000000000e+00,1.570749999999999957e+01,1.547273437499999993e+01
3.473500000000000000e+03,7.331542968750000000e+01,3.084999999999999964e+00,1.540000000000000036e+01,1.546015625000000071e+01
3.473599999999999909e+03,7.282104492187500000e+01,3.082500000000000018e+00,1.556000000000000050e+01,1.543171874999999993e+01
3.473699999999999818e+03,7.404785156250000000e+01,3.100000000000000089e+00,1.569749999999999979e+01,1.544156250000000163e+01
3.473800000000000182e+03,7.564086914062500000e+01,3.125000000000000000e+00,1.553999999999999915e+01,1.548859375000000149e+01
3.473900000000000091e+03,7.536621093750000000e+01,3.132499999999999840e+00,1.568500000000000050e+01,1.540820312500000000e+01
3.474000000000000000e+03,7.578735351562500000e+01,3.120000000000000107e+00,1.549000000000000021e+01,1.546671875000000007e+01
3.474099999999999909e+03,7.536621093750000000e+01,3.145000000000000018e+00,1.552999999999999936e+01,1.549187500000000028e+01
3.474199999999999818e+03,7.787475585937500000e+01,3.117500000000000160e+00,1.553999999999999915e+01,1.545414062500000085e+01
3.474300000000000182e+03,7.798461914062500000e+01,3.172499999999999876e+00,1.544999999999999929e+01,1.544046875000000085e+01
3.474400000000000091e+03,7.781982421875000000e+01,3.162500000000000089e+00,1.560749999999999993e+01,1.543554687500000000e+01
3.474500000000000000e+03,7.824096679687500000e+01,3.134999999999999787e+00,1.569749999999999979e+01,1.540710937500000099e+01
3.474599999999999909e+03,7.921142578125000000e+01,3.180000000000000160e+00,1.567750000000000021e+01,1.548859375000000149e+01
3.474699999999999818e+03,8.025512695312500000e+01,3.194999999999999840e+00,1.569999999999999929e+01,1.546289062500000000e+01
3.474800000000000182e+03,8.032836914062500000e+01,3.187500000000000000e+00,1.552749999999999986e+01,1.542460937500000107e+01
3.474900000000000091e+03,7.999877929687500000e+01,3.162500000000000089e+00,1.572000000000000064e+01,1.542460937500000107e+01
3.475000000000000000e+03,8.045654296875000000e+01,3.207500000000000018e+00,1.557750000000000057e+01,1.542843750000000114e+01
3.475099999999999909e+03,8.195800781250000000e+01,3.205000000000000071e+00,1.570500000000000007e+01,1.546617187500000057e+01
3.475199999999999818e+03,8.237915039062500000e+01,3.222500000000000142e+00,1.575000000000000000e+01,1.544156250000000163e+01
3.475300000000000182e+03,8.237915039062500000e+01,3.192499999999999893e+00,1.581499999999999950e+01,1.542789062500000163e+01
3.475400000000000091e+03,8.210449218750000000e+01,3.194999999999999840e+00,1.541999999999999993e+01,1.552359375000000163e+01
3.475500000000000000e+03,8.426513671875000000e+01,3.234999999999999876e+00,1.552999999999999936e+01,1.545085937500000028e+01
3.475599999999999909e+03,8.415527343750000000e+01,3.220000000000000195e+00,1.576249999999999929e+01,1.546890625000000163e+01
3.475699999999999818e+03,8.452148437500000000e+01,3.232499999999999929e+00,1.548000000000000043e+01,1.549460937500000135e+01
3.475800000000000182e+03,8.450317382812500000e+01,3.240000000000000213e+00,1.549000000000000021e+01,1.544757812500000149e+01
3.475900000000000091e+03,8.488769531250000000e+01,3.262500000000000178e+00,1.559750000000000014e+01,1.546562500000000107e+01
3.476000000000000000e+03,8.648071289062500000e+01,3.292499999999999982e+00,1.539000000000000057e+01,1.546015625000000071e+01
3.476099999999999909e+03,8.602294921875000000e+01,3.240000000000000213e+00,1.558999999999999986e+01,1.544101562500000036e+01
3.476199999999999818e+03,8.642578125000000000e+01,3.287500000000000089e+00,1.541999999999999993e+01,1.549953125000000043e+01
3.476300000000000182e+03,8.635253906250000000e+01,3.270000000000000018e+00,1.574750000000000050e+01,1.544812500000000099e+01
3.476400000000000091e+03,8.781738281250000000e+01,3.265000000000000124e+00,1.542750000000000021e+01,1.546015625000000071e+01
3.476500000000000000e+03,8.843994140625000000e+01,3.322499999999999787e+00,1.550000000000000000e+01,1.547437500000000021e+01
3.476599999999999909e+03,8.792724609375000000e+01,3.307500000000000107e+00,1.566000000000000014e+01,1.548585937500000043e+01
3.476699999999999818e+03,8.833007812500000000e+01,3.285000000000000142e+00,1.575000000000000000e+01,1.544648437500000071e+01
3.476800000000000182e+03,8.953857421875000000e+01,3.277499999999999858e+00,1.568750000000000000e+01,1.547054687500000014e+01
3.476900000000000091e+03,8.986816406250000000e+01,3.305000000000000160e+00,1.561999999999999922e+01,1.546835937500000036e+01
3.477000000000000000e+03,9.034423828125000000e+01,3.305000000000000160e+00,1.546749999999999936e+01,1.546617187500000057e+01
3.477099999999999909e+03,8.979492187500000000e+01,3.319999999999999840e+00,1.557750000000000057e+01,1.542898437500000064e+01
3.477199999999999818e+03,9.030761718750000000e+01,3.302500000000000213e+00,1.551999999999999957e+01,1.539015625000000043e+01
3.477300000000000182e+03,9.191894531250000000e+01,3.327500000000000124e+00,1.557000000000000028e+01,1.549132812500000078e+01
3.477400000000000091e+03,9.171752929687500000e+01,3.312500000000000000e+00,1.563499999999999979e+01,1.551593750000000149e+01
3.477500000000000000e+03,9.215698242187500000e+01,3.314999999999999947e+00,1.568999999999999950e+01,1.547218750000000043e+01
3.477599999999999909e+03,9.164428710937500000e+01,3.334999999999999964e+00,1.558999999999999986e+01,1.547273437499999993e+01
3.477699999999999818e+03,9.356689453125000000e+01,3.352500000000000036e+00,1.573749999999999893e+01,1.545195312500000107e+01
3.477800000000000182e+03,9.378662109375000000e+01,3.377499999999999947e+00,1.558000000000000007e+01,1.548585937500000043e+01
3.477900000000000091e+03,9.349365234375000000e+01,3.612499999999999822e+00,1.568999999999999950e+01,1.544539062499999993e+01
3.478000000000000000e+03,9.398803710937500000e+01,3.387500000000000178e+00,1.553500000000000014e+01,1.546781250000000085e+01
3.478099999999999909e+03,9.406127929687500000e+01,3.382499999999999840e+00,1.566000000000000014e+01,1.545523437500000163e+01
3.478199999999999818e+03,9.554443359375000000e+01,3.390000000000000124e+00,1.594749999999999979e+01,1.542406250000000156e+01
3.478300000000000182e+03,9.552612304687500000e+01,3.379999999999999893e+00,1.563749999999999929e+01,1.541859375000000121e+01
3.478400000000000091e+03,9.519653320312500000e+01,3.405000000000000249e+00,1.548000000000000043e+01,1.544921875000000000e+01
3.478500000000000000e+03,9.567260742187500000e+01,3.452500000000000124e+00,1.558750000000000036e+01,1.549132812500000078e+01
3.478599999999999909e+03,9.675292968750000000e+01,3.452500000000000124e+00,1.561500000000000021e+01,1.547273437499999993e+01
3.478699999999999818e+03,9.733886718750000000e+01,3.415000000000000036e+00,1.559999999999999964e+01,1.546726562500000135e+01
3.478800000000000182e+03,9.730224609375000000e+01,3.419999999999999929e+00,1.545999999999999908e+01,1.545960937500000121e+01
