time,temperature,ch1,ch3,ch5
3.888000000000000000e+03,4.731445312500000000e+01,4.312499999999985789e-02,1.556000000000000050e+01,6.562499999999360512e-03
3.888099999999999909e+03,4.698486328125000000e+01,4.562499999999980460e-02,1.551999999999999957e+01,-8.257812500000039080e-02
3.888199999999999818e+03,4.751586914062500000e+01,7.812500000000000000e-02,1.567750000000000021e+01,-1.006250000000008527e-01
3.888300000000000182e+03,4.746093750000000000e+01,2.834999999999999964e+00,1.557750000000000057e+01,1.563023437500000057e+01
3.888400000000000091e+03,4.736938476562500000e+01,2.802500000000000213e+00,1.563250000000000028e+01,1.543664062500000078e+01
3.888500000000000000e+03,4.755249023437500000e+01,2.790000000000000036e+00,1.554749999999999943e+01,1.546179687500000099e+01
3.888599999999999909e+03,4.887084960937500000e+01,2.832500000000000018e+00,1.560999999999999943e+01,1.553945312500000142e+01
3.888699999999999818e+03,4.945678710937500000e+01,2.850000000000000089e+00,1.549000000000000021e+01,1.542132812500000050e+01
3.888800000000000182e+03,4.936523437500000000e+01,2.870000000000000107e+00,1.561999999999999922e+01,1.545742187500000142e+01
3.888900000000000091e+03,4.927368164062500000e+01,2.879999999999999893e+00,1.567750000000000021e+01,1.547765625000000078e+01
3.889000000000000000e+03,5.086669921875000000e+01,2.870000000000000107e+00,1.558750000000000036e+01,1.545304687500000007e+01
3.889099999999999909e+03,5.225830078125000000e+01,2.919999999999999929e+00,1.568999999999999950e+01,1.551156250000000014e+01
3.889199999999999818e+03,5.264282226562500000e+01,2.937500000000000000e+00,1.563499999999999979e+01,1.549679687500000114e+01
3.889300000000000182e+03,5.260620117187500000e+01,2.912500000000000089e+00,1.562999999999999901e+01,1.548367187500000064e+01
3.889400000000000091e+03,5.251464843750000000e+01,2.927500000000000213e+00,1.570749999999999957e+01,1.542898437500000064e+01
3.889500000000000000e+03,5.657958984375000000e+01,2.924999999999999822e+00,1.559750000000000014e+01,1.544593750000000121e+01
3.889599999999999909e+03,5.648803710937500000e+01,2.947499999999999787e+00,1.568999999999999950e+01,1.550500000000000078e+01
3.889699999999999818e+03,5.689086914062500000e+01,2.970000000000000195e+00,1.533750000000000036e+01,1.552414062500000114e+01
3.889800000000000182e+03,5.679931640625000000e+01,2.967499999999999805e+00,1.550999999999999979e+01,1.542078125000000099e+01
3.889900000000000091e+03,5.996704101562500000e+01,2.964999999999999858e+00,1.558999999999999986e+01,1.549570312500000036e+01
3.890000000000000000e+03,6.159667968750000000e+01,2.962499999999999911e+00,1.563749999999999929e+01,1.550500000000000078e+01
3.890099999999999909e+03,6.119384765625000000e+01,2.990000000000000213e+00,1.550499999999999901e+01,1.545742187500000142e+01
3.890199999999999818e+03,6.161499023437500000e+01,2.984999999999999876e+00,1.559750000000000014e+01,1.546835937500000036e+01
3.890300000000000182e+03,6.172485351562500000e+01,2.915000000000000036e+00,1.558750000000000036e+01,1.543281250000000071e+01
3.890400000000000091e+03,6.516723632812500000e+01,3.002499999999999947e+00,1.524000000000000021e+01,1.553507812500000007e+01
3.890500000000000000e+03,6.555175781250000000e+01,3.027499999999999858e+00,1.569999999999999929e+01,1.549351562500000057e+01
3.890599999999999909e+03,6.509399414062500000e+01,3.077500000000000124e+00,1.562999999999999901e+01,1.551101562500000064e+01
3.890699999999999818e+03,6.553344726562500000e+01,3.009999999999999787e+00,1.541000000000000014e+01,1.547273437499999993e+01
3.890800000000000182e+03,6.804199218750000000e+01,3.084999999999999964e+00,1.562500000000000000e+01,1.547765625000000078e+01
3.890900000000000091e+03,6.859130859375000000e+01,3.095000000000000195e+00,1.541750000000000043e+01,1.550226562500000149e+01
3.891000000000000000e+03,6.888427734375000000e+01,2.957500000000000018e+00,1.575999999999999979e+01,1.555968750000000078e+01
3.891099999999999909e+03,6.840820312500000000e+01,3.072499999999999787e+00,1.558750000000000036e+01,1.544320312500000014e+01
3.891199999999999818e+03,6.987304687500000000e+01,3.100000000000000089e+00,1.564749999999999908e+01,1.545468750000000036e+01
3.891300000000000182e+03,7.148437500000000000e+01,3.064999999999999947e+00,1.558999999999999986e+01,1.547601562500000050e+01
3.891400000000000091e+03,7.152099609375000000e+01,3.069999999999999840e+00,1.575000000000000000e+01,1.547710937500000128e+01
3.891500000000000000e+03,7.175903320312500000e+01,3.032500000000000195e+00,1.574000000000000021e+01,1.549351562500000057e+01
3.891599999999999909e+03,7.126464843750000000e+01,3.092499999999999805e+00,1.559999999999999964e+01,1.549570312500000036e+01
3.891699999999999818e+03,7.408447265625000000e+01,3.080000000000000071e+00,1.558750000000000036e+01,1.540492187500000121e+01
3.891800000000000182e+03,7.415771484375000000e+01,3.092499999999999805e+00,1.577749999999999986e+01,1.539617187500000028e+01
3.891900000000000091e+03,7.412109375000000000e+01,3.120000000000000107e+00,1.585500000000000043e+01,1.548148437500000085e+01
3.892000000000000000e+03,7.435913085937500000e+01,3.149999999999999911e+00,1.568999999999999950e+01,1.545578125000000114e+01
3.892099999999999909e+03,7.547607421875000000e+01,3.152499999999999858e+00,1.556000000000000050e+01,1.545031250000000078e+01
3.892199999999999818e+03,7.673950195312500000e+01,3.122500000000000053e+00,1.551500000000000057e+01,1.547546875000000099e+01
3.892300000000000182e+03,7.655639648437500000e+01,3.160000000000000142e+00,1.547499999999999964e+01,1.547437500000000021e+01
3.892400000000000091e+03,7.657470703125000000e+01,3.172499999999999876e+00,1.592499999999999893e+01,1.547164062500000092e+01
3.892500000000000000e+03,7.681274414062500000e+01,3.165000000000000036e+00,1.572749999999999915e+01,1.549296875000000107e+01
3.892599999999999909e+03,7.853393554687500000e+01,3.182500000000000107e+00,1.549000000000000021e+01,1.547492187500000149e+01
3.892699999999999818e+03,7.910156250000000000e+01,3.162500000000000089e+00,1.567750000000000021e+01,1.547054687500000014e+01
3.892800000000000182e+03,7.886352539062500000e+01,3.222500000000000142e+00,1.558750000000000036e+01,1.543171874999999993e+01
3.892900000000000091e+03,7.886352539062500000e+01,3.209999999999999964e+00,1.558750000000000036e+01,1.548312500000000114e+01
3.893000000000000000e+03,8.091430664062500000e+01,3.217499999999999805e+00,1.594749999999999979e+01,1.550007812499999993e+01
3.893099999999999909e+03,8.076782226562500000e+01,3.220000000000000195e+00,1.546749999999999936e+01,1.554000000000000092e+01
3.893199999999999818e+03,8.129882812500000000e+01,3.214999999999999858e+00,1.533000000000000007e+01,1.547492187500000149e+01
