time,temperature,ch1,ch3,ch5
8.481899999999999636e+03,2.611083984375000000e+01,2.062499999999989342e-02,1.528999999999999915e+01,4.921874999999076294e-03
8.482000000000000000e+03,2.609252929687500000e+01,5.062500000000014211e-02,1.542999999999999972e+01,-8.039062500000060396e-02
8.482100000000000364e+03,2.616577148437500000e+01,3.124999999999822364e-03,1.527999999999999936e+01,-9.406250000000060396e-02
8.482200000000000728e+03,2.642211914062500000e+01,3.062500000000012434e-02,1.525000000000000000e+01,-3.828125000000071054e-02
8.482299999999999272e+03,2.620239257812500000e+01,2.765000000000000124e+00,1.510999999999999943e+01,1.562750000000000128e+01
8.482399999999999636e+03,2.640380859375000000e+01,2.805000000000000160e+00,1.525999999999999979e+01,1.549296875000000107e+01
8.482500000000000000e+03,2.636718750000000000e+01,2.737499999999999822e+00,1.532000000000000028e+01,1.547328125000000121e+01
8.482600000000000364e+03,2.817993164062500000e+01,2.779999999999999805e+00,1.537999999999999901e+01,1.545687500000000014e+01
8.482700000000000728e+03,2.850952148437500000e+01,2.810000000000000053e+00,1.550000000000000000e+01,1.547710937500000128e+01
8.482799999999999272e+03,2.830810546875000000e+01,2.802500000000000213e+00,1.529999999999999893e+01,1.550007812499999993e+01
8.482899999999999636e+03,2.856445312500000000e+01,2.792499999999999982e+00,1.508000000000000007e+01,1.549515625000000085e+01
8.483000000000000000e+03,3.061523437500000000e+01,2.799999999999999822e+00,1.542999999999999972e+01,1.539726562500000107e+01
8.483100000000000364e+03,3.158569335937500000e+01,2.839999999999999858e+00,1.539000000000000057e+01,1.548859375000000149e+01
8.483200000000000728e+03,3.178710937500000000e+01,2.854999999999999982e+00,1.520999999999999908e+01,1.548640624999999993e+01
8.483299999999999272e+03,3.149414062500000000e+01,2.845000000000000195e+00,1.523000000000000043e+01,1.548968750000000050e+01
8.483399999999999636e+03,3.187866210937500000e+01,2.857499999999999929e+00,1.539000000000000057e+01,1.547164062500000092e+01
8.483500000000000000e+03,3.568725585937500000e+01,2.990000000000000213e+00,1.534999999999999964e+01,1.546617187500000057e+01
8.483600000000000364e+03,3.581542968750000000e+01,2.859999999999999876e+00,1.525999999999999979e+01,1.549187500000000028e+01
8.483700000000000728e+03,3.594360351562500000e+01,2.857499999999999929e+00,1.550000000000000000e+01,1.548312500000000114e+01
8.483799999999999272e+03,3.565063476562500000e+01,2.875000000000000000e+00,1.550000000000000000e+01,1.548859375000000149e+01
8.483899999999999636e+03,3.977050781250000000e+01,2.867500000000000160e+00,1.533999999999999986e+01,1.550992187500000163e+01
8.484000000000000000e+03,4.052124023437500000e+01,2.910000000000000142e+00,1.542999999999999972e+01,1.549734375000000064e+01
8.484100000000000364e+03,4.053955078125000000e+01,2.897499999999999964e+00,1.531000000000000050e+01,1.547601562500000050e+01
8.484200000000000728e+03,4.066772460937500000e+01,2.910000000000000142e+00,1.527999999999999936e+01,1.541640625000000142e+01
8.484299999999999272e+03,4.152832031250000000e+01,2.915000000000000036e+00,1.533000000000000007e+01,1.547820312500000028e+01
8.484399999999999636e+03,4.438476562500000000e+01,2.897499999999999964e+00,1.531000000000000050e+01,1.547492187500000149e+01
8.484500000000000000e+03,4.438476562500000000e+01,2.922499999999999876e+00,1.515000000000000036e+01,1.546398437500000078e+01
8.484600000000000364e+03,4.436645507812500000e+01,2.939999999999999947e+00,1.529999999999999893e+01,1.545742187500000142e+01
8.484700000000000728e+03,4.447631835937500000e+01,2.922499999999999876e+00,1.508999999999999986e+01,1.551210937500000142e+01
8.484799999999999272e+03,4.698486328125000000e+01,2.930000000000000160e+00,1.506000000000000050e+01,1.549187500000000028e+01
8.484899999999999636e+03,4.766235351562500000e+01,2.942499999999999893e+00,1.524000000000000021e+01,1.548203125000000036e+01
8.485000000000000000e+03,4.755249023437500000e+01,2.950000000000000178e+00,1.519999999999999929e+01,1.546289062500000000e+01
8.485100000000000364e+03,4.753417968750000000e+01,2.947499999999999787e+00,1.517999999999999972e+01,1.547875000000000156e+01
8.485200000000000728e+03,4.929199218750000000e+01,2.964999999999999858e+00,1.518999999999999950e+01,1.545687500000000014e+01
8.485299999999999272e+03,5.011596679687500000e+01,2.959999999999999964e+00,1.527999999999999936e+01,1.549570312500000036e+01
8.485399999999999636e+03,5.051879882812500000e+01,2.972500000000000142e+00,1.539000000000000057e+01,1.544648437500000071e+01
8.485500000000000000e+03,5.035400390625000000e+01,2.964999999999999858e+00,1.517999999999999972e+01,1.552796875000000121e+01
8.485600000000000364e+03,5.037231445312500000e+01,2.959999999999999964e+00,1.518999999999999950e+01,1.543335937500000021e+01
8.485700000000000728e+03,5.289916992187500000e+01,3.020000000000000018e+00,1.537999999999999901e+01,1.544210937500000114e+01
8.485799999999999272e+03,5.262451171875000000e+01,2.959999999999999964e+00,1.533999999999999986e+01,1.545414062500000085e+01
8.485899999999999636e+03,5.300903320312500000e+01,3.004999999999999893e+00,1.529999999999999893e+01,1.550992187500000163e+01
