time,temperature,voltage
3.764699999999999818e+03,4.731445312500000000e+01,4.312499999999985789e-02
3.764800000000000182e+03,4.698486328125000000e+01,4.562499999999980460e-02
3.764900000000000091e+03,4.751586914062500000e+01,7.812500000000000000e-02
3.765000000000000000e+03,4.746093750000000000e+01,2.834999999999999964e+00
3.765099999999999909e+03,4.736938476562500000e+01,2.802500000000000213e+00
3.765199999999999818e+03,4.755249023437500000e+01,2.790000000000000036e+00
3.765300000000000182e+03,4.887084960937500000e+01,2.832500000000000018e+00
3.765400000000000091e+03,4.945678710937500000e+01,2.850000000000000089e+00
3.765500000000000000e+03,4.936523437500000000e+01,2.870000000000000107e+00
3.765599999999999909e+03,4.927368164062500000e+01,2.879999999999999893e+00
3.765699999999999818e+03,5.086669921875000000e+01,2.870000000000000107e+00
3.765800000000000182e+03,5.225830078125000000e+01,2.919999999999999929e+00
3.765900000000000091e+03,5.264282226562500000e+01,2.937500000000000000e+00
3.766000000000000000e+03,5.260620117187500000e+01,2.912500000000000089e+00
3.766099999999999909e+03,5.251464843750000000e+01,2.927500000000000213e+00
3.766199999999999818e+03,5.657958984375000000e+01,2.924999999999999822e+00
3.766300000000000182e+03,5.648803710937500000e+01,2.947499999999999787e+00
3.766400000000000091e+03,5.689086914062500000e+01,2.970000000000000195e+00
3.766500000000000000e+03,5.679931640625000000e+01,2.967499999999999805e+00
3.766599999999999909e+03,5.996704101562500000e+01,2.964999999999999858e+00
3.766699999999999818e+03,6.159667968750000000e+01,2.962499999999999911e+00
3.766800000000000182e+03,6.119384765625000000e+01,2.990000000000000213e+00
3.766900000000000091e+03,6.161499023437500000e+01,2.984999999999999876e+00
3.767000000000000000e+03,6.172485351562500000e+01,2.915000000000000036e+00
3.767099999999999909e+03,6.516723632812500000e+01,3.002499999999999947e+00
3.767199999999999818e+03,6.555175781250000000e+01,3.027499999999999858e+00
3.767300000000000182e+03,6.509399414062500000e+01,3.077500000000000124e+00
3.767400000000000091e+03,6.553344726562500000e+01,3.009999999999999787e+00
3.767500000000000000e+03,6.804199218750000000e+01,3.084999999999999964e+00
3.767599999999999909e+03,6.859130859375000000e+01,3.095000000000000195e+00
3.767699999999999818e+03,6.888427734375000000e+01,2.957500000000000018e+00
3.767800000000000182e+03,6.840820312500000000e+01,3.072499999999999787e+00
3.767900000000000091e+03,6.987304687500000000e+01,3.100000000000000089e+00
3.768000000000000000e+03,7.148437500000000000e+01,3.064999999999999947e+00
3.768099999999999909e+03,7.152099609375000000e+01,3.069999999999999840e+00
3.768199999999999818e+03,7.175903320312500000e+01,3.032500000000000195e+00
3.768300000000000182e+03,7.126464843750000000e+01,3.092499999999999805e+00
3.768400000000000091e+03,7.408447265625000000e+01,3.080000000000000071e+00
3.768500000000000000e+03,7.415771484375000000e+01,3.092499999999999805e+00
3.768599999999999909e+03,7.412109375000000000e+01,3.120000000000000107e+00
3.768699999999999818e+03,7.435913085937500000e+01,3.149999999999999911e+00
3.768800000000000182e+03,7.547607421875000000e+01,3.152499999999999858e+00
3.768900000000000091e+03,7.673950195312500000e+01,3.122500000000000053e+00
3.769000000000000000e+03,7.655639648437500000e+01,3.160000000000000142e+00
3.769099999999999909e+03,7.657470703125000000e+01,3.172499999999999876e+00
3.769199999999999818e+03,7.681274414062500000e+01,3.165000000000000036e+00
3.769300000000000182e+03,7.853393554687500000e+01,3.182500000000000107e+00
3.769400000000000091e+03,7.910156250000000000e+01,3.162500000000000089e+00
3.769500000000000000e+03,7.886352539062500000e+01,3.222500000000000142e+00
3.769599999999999909e+03,7.886352539062500000e+01,3.209999999999999964e+00
3.769699999999999818e+03,8.091430664062500000e+01,3.217499999999999805e+00
3.769800000000000182e+03,8.076782226562500000e+01,3.220000000000000195e+00
3.769900000000000091e+03,8.129882812500000000e+01,3.214999999999999858e+00
3.770000000000000000e+03,8.104248046875000000e+01,3.234999999999999876e+00
3.770099999999999909e+03,8.186645507812500000e+01,3.245000000000000107e+00
3.770199999999999818e+03,8.334960937500000000e+01,3.262500000000000178e+00
3.770300000000000182e+03,8.285522460937500000e+01,3.242500000000000160e+00
3.770400000000000091e+03,8.342285156250000000e+01,3.240000000000000213e+00
3.770500000000000000e+03,8.314819335937500000e+01,3.254999999999999893e+00
3.770599999999999909e+03,8.497924804687500000e+01,3.259999999999999787e+00
3.770699999999999818e+03,8.538208007812500000e+01,3.250000000000000000e+00
3.770800000000000182e+03,8.485107421875000000e+01,3.274999999999999911e+00
3.770900000000000091e+03,8.543701171875000000e+01,3.294999999999999929e+00
3.771000000000000000e+03,8.638916015625000000e+01,3.285000000000000142e+00
3.771099999999999909e+03,8.710327148437500000e+01,3.285000000000000142e+00
3.771199999999999818e+03,8.724975585937500000e+01,3.270000000000000018e+00
3.771300000000000182e+03,8.675537109375000000e+01,3.310000000000000053e+00
3.771400000000000091e+03,8.734130859375000000e+01,3.317499999999999893e+00
3.771500000000000000e+03,8.882446289062500000e+01,3.325000000000000178e+00
3.771599999999999909e+03,8.898925781250000000e+01,3.337499999999999911e+00
3.771699999999999818e+03,8.917236328125000000e+01,3.327500000000000124e+00
3.771800000000000182e+03,8.865966796875000000e+01,3.352500000000000036e+00
3.771900000000000091e+03,9.072875976562500000e+01,3.342500000000000249e+00
3.772000000000000000e+03,9.083862304687500000e+01,3.382499999999999840e+00
3.772099999999999909e+03,9.087524414062500000e+01,3.314999999999999947e+00
3.772199999999999818e+03,9.114990234375000000e+01,3.375000000000000000e+00
3.772300000000000182e+03,9.125976562500000000e+01,3.345000000000000195e+00
3.772400000000000091e+03,9.288940429687500000e+01,3.370000000000000107e+00
3.772500000000000000e+03,9.265136718750000000e+01,3.375000000000000000e+00
3.772599999999999909e+03,9.272460937500000000e+01,3.419999999999999929e+00
3.772699999999999818e+03,9.290771484375000000e+01,3.412500000000000089e+00
3.772800000000000182e+03,9.406127929687500000e+01,3.419999999999999929e+00
3.772900000000000091e+03,9.475708007812500000e+01,3.427500000000000213e+00
3.773000000000000000e+03,9.448242187500000000e+01,3.424999999999999822e+00
3.773099999999999909e+03,9.455566406250000000e+01,3.417499999999999982e+00
3.773199999999999818e+03,9.587402343750000000e+01,3.437500000000000000e+00
3.773300000000000182e+03,9.581909179687500000e+01,3.450000000000000178e+00
3.773400000000000091e+03,9.647827148437500000e+01,3.432500000000000107e+00
3.773500000000000000e+03,9.611206054687500000e+01,3.484999999999999876e+00
3.773599999999999909e+03,9.625854492187500000e+01,3.532499999999999751e+00
3.773699999999999818e+03,9.805297851562500000e+01,3.462499999999999911e+00
3.773800000000000182e+03,9.757690429687500000e+01,3.479999999999999982e+00
3.773900000000000091e+03,9.816284179687500000e+01,3.492500000000000160e+00
3.774000000000000000e+03,9.781494140625000000e+01,3.542499999999999982e+00
3.774099999999999909e+03,9.940795898437500000e+01,3.490000000000000213e+00
3.774199999999999818e+03,9.992065429687500000e+01,3.479999999999999982e+00
3.774300000000000182e+03,9.937133789062500000e+01,3.464999999999999858e+00
3.774400000000000091e+03,9.995727539062500000e+01,3.517500000000000071e+00
3.774500000000000000e+03,1.002502441406250000e+02,3.490000000000000213e+00
3.774599999999999909e+03,1.014221191406250000e+02,3.530000000000000249e+00
3.774699999999999818e+03,1.016601562500000000e+02,3.555000000000000160e+00
3.774800000000000182e+03,1.010925292968750000e+02,3.552500000000000213e+00
3.774900000000000091e+03,1.016784667968750000e+02,3.555000000000000160e+00
3.775000000000000000e+03,1.028137207031250000e+02,3.535000000000000142e+00
3.775099999999999909e+03,1.031250000000000000e+02,3.577500000000000124e+00
3.775199999999999818e+03,1.033264160156250000e+02,3.570000000000000284e+00
3.775300000000000182e+03,1.027770996093750000e+02,3.542499999999999982e+00
3.775400000000000091e+03,1.044982910156250000e+02,3.594999999999999751e+00
3.775500000000000000e+03,1.046447753906250000e+02,3.587499999999999911e+00
3.775599999999999909e+03,1.048095703125000000e+02,3.627499999999999947e+00
3.775699999999999818e+03,1.050292968750000000e+02,3.640000000000000124e+00
3.775800000000000182e+03,1.045166015625000000e+02,3.629999999999999893e+00
3.775900000000000091e+03,1.067504882812500000e+02,3.622500000000000053e+00
3.776000000000000000e+03,1.063842773437500000e+02,3.655000000000000249e+00
3.776099999999999909e+03,1.065307617187500000e+02,3.615000000000000213e+00
3.776199999999999818e+03,1.067504882812500000e+02,3.660000000000000142e+00
3.776300000000000182e+03,1.076293945312500000e+02,3.652499999999999858e+00
3.776400000000000091e+03,1.084716796875000000e+02,3.652499999999999858e+00
3.776500000000000000e+03,1.080505371093750000e+02,3.677500000000000213e+00
3.776599999999999909e+03,1.082519531250000000e+02,3.665000000000000036e+00
3.776699999999999818e+03,1.092590332031250000e+02,3.677500000000000213e+00
3.776800000000000182e+03,1.095703125000000000e+02,3.692499999999999893e+00
3.776900000000000091e+03,1.101562500000000000e+02,3.745000000000000107e+00
3.777000000000000000e+03,1.097351074218750000e+02,3.714999999999999858e+00
3.777099999999999909e+03,1.099731445312500000e+02,3.742500000000000160e+00
3.777199999999999818e+03,1.117309570312500000e+02,3.820000000000000284e+00
3.777300000000000182e+03,1.112731933593750000e+02,3.707500000000000018e+00
3.777400000000000091e+03,1.119323730468750000e+02,3.752499999999999947e+00
3.777500000000000000e+03,1.114562988281250000e+02,3.785000000000000142e+00
3.777599999999999909e+03,1.129211425781250000e+02,3.790000000000000036e+00
3.777699999999999818e+03,1.134887695312500000e+02,3.799999999999999822e+00
3.777800000000000182e+03,1.129943847656250000e+02,3.817499999999999893e+00
3.777900000000000091e+03,1.136169433593750000e+02,3.842500000000000249e+00
3.778000000000000000e+03,1.135070800781250000e+02,3.810000000000000053e+00
3.778099999999999909e+03,1.149902343750000000e+02,3.832500000000000018e+00
3.778199999999999818e+03,1.152465820312500000e+02,3.862499999999999822e+00
3.778300000000000182e+03,1.146606445312500000e+02,3.854999999999999982e+00
3.778400000000000091e+03,1.153381347656250000e+02,3.897499999999999964e+00
3.778500000000000000e+03,1.163635253906250000e+02,3.899999999999999911e+00
3.778599999999999909e+03,1.168945312500000000e+02,3.917499999999999982e+00
3.778699999999999818e+03,1.170227050781250000e+02,3.942499999999999893e+00
3.778800000000000182e+03,1.164550781250000000e+02,3.947499999999999787e+00
3.778900000000000091e+03,1.181396484375000000e+02,4.000000000000000000e+00
3.779000000000000000e+03,1.183593750000000000e+02,3.967500000000000249e+00
3.779099999999999909e+03,1.186889648437500000e+02,4.019999999999999574e+00
3.779199999999999818e+03,1.187988281250000000e+02,4.035000000000000142e+00
3.779300000000000182e+03,1.182495117187500000e+02,4.007500000000000284e+00
3.779400000000000091e+03,1.204650878906250000e+02,4.064999999999999503e+00
3.779500000000000000e+03,1.200073242187500000e+02,4.042500000000000426e+00
3.779599999999999909e+03,1.203002929687500000e+02,4.032499999999999751e+00
3.779699999999999818e+03,1.205017089843750000e+02,4.082499999999999574e+00
3.779800000000000182e+03,1.199890136718750000e+02,4.082499999999999574e+00
3.779900000000000091e+03,1.206848144531250000e+02,4.092500000000000249e+00
3.780000000000000000e+03,1.201538085937500000e+02,4.117499999999999716e+00
3.780099999999999909e+03,1.204101562500000000e+02,4.099999999999999645e+00
3.780199999999999818e+03,1.205383300781250000e+02,4.562499999999980460e-02
3.780300000000000182e+03,1.200073242187500000e+02,3.812499999999996447e-02
3.780400000000000091e+03,1.206848144531250000e+02,3.562500000000001776e-02
3.780500000000000000e+03,1.201538085937500000e+02,3.562500000000001776e-02
3.780599999999999909e+03,1.204467773437500000e+02,-2.499999999999946709e-03
3.780699999999999818e+03,1.203002929687500000e+02,4.562499999999980460e-02
3.780800000000000182e+03,1.197143554687500000e+02,5.312500000000008882e-02
3.780900000000000091e+03,1.203735351562500000e+02,2.312499999999984013e-02
3.781000000000000000e+03,1.198425292968750000e+02,2.812499999999973355e-02
3.781099999999999909e+03,1.189636230468750000e+02,5.812499999999998224e-02
3.781199999999999818e+03,1.184143066406250000e+02,1.562500000000000000e-02
3.781300000000000182e+03,1.179016113281250000e+02,1.562500000000000000e-02
3.781400000000000091e+03,1.185058593750000000e+02,6.562499999999982236e-02
3.781500000000000000e+03,1.179931640625000000e+02,3.062500000000012434e-02
3.781599999999999909e+03,1.153015136718750000e+02,6.562499999999982236e-02
3.781699999999999818e+03,1.152648925781250000e+02,6.062499999999992895e-02
3.781800000000000182e+03,1.146606445312500000e+02,2.562499999999978684e-02
3.781900000000000091e+03,1.153381347656250000e+02,3.562500000000001776e-02
3.782000000000000000e+03,1.113647460937500000e+02,3.312500000000007105e-02
3.782099999999999909e+03,1.108154296875000000e+02,7.312500000000010658e-02
3.782199999999999818e+03,1.109802246093750000e+02,6.562499999999982236e-02
3.782300000000000182e+03,1.103942871093750000e+02,5.562500000000003553e-02
3.782400000000000091e+03,1.098083496093750000e+02,2.812499999999973355e-02
3.782500000000000000e+03,1.071533203125000000e+02,4.812499999999975131e-02
3.782599999999999909e+03,1.072448730468750000e+02,3.062500000000012434e-02
3.782699999999999818e+03,1.074279785156250000e+02,6.312499999999987566e-02
3.782800000000000182e+03,1.068969726562500000e+02,7.312500000000010658e-02
3.782900000000000091e+03,1.047729492187500000e+02,2.312499999999984013e-02
3.783000000000000000e+03,1.040771484375000000e+02,3.312500000000007105e-02
3.783099999999999909e+03,1.042602539062500000e+02,1.812499999999994671e-02
3.783199999999999818e+03,1.044433593750000000e+02,7.812500000000000000e-02
3.783300000000000182e+03,1.022277832031250000e+02,4.562499999999980460e-02
3.783400000000000091e+03,1.018981933593750000e+02,8.312499999999989342e-02
3.783500000000000000e+03,1.014953613281250000e+02,5.312500000000008882e-02
3.783599999999999909e+03,1.016601562500000000e+02,4.812499999999975131e-02
3.783699999999999818e+03,1.017700195312500000e+02,4.812499999999975131e-02
3.783800000000000182e+03,9.911499023437500000e+01,5.812499999999998224e-02
3.783900000000000091e+03,9.957275390625000000e+01,4.062499999999991118e-02
3.784000000000000000e+03,9.920654296875000000e+01,5.312500000000008882e-02
3.784099999999999909e+03,9.933471679687500000e+01,4.312499999999985789e-02
3.784199999999999818e+03,9.790649414062500000e+01,4.062499999999991118e-02
3.784300000000000182e+03,9.699096679687500000e+01,4.562499999999980460e-02
3.784400000000000091e+03,9.757690429687500000e+01,2.562499999999978684e-02
3.784500000000000000e+03,9.717407226562500000e+01,3.062500000000012434e-02
3.784599999999999909e+03,9.662475585937500000e+01,5.312500000000008882e-02
3.784699999999999818e+03,9.567260742187500000e+01,2.562499999999978684e-02
3.784800000000000182e+03,9.510498046875000000e+01,-1.231249999999999289e-01
3.784900000000000091e+03,9.570922851562500000e+01,3.812499999999996447e-02
3.785000000000000000e+03,9.534301757812500000e+01,1.312500000000005329e-02
3.785099999999999909e+03,9.380493164062500000e+01,4.562499999999980460e-02
3.785199999999999818e+03,9.384155273437500000e+01,2.312499999999984013e-02
3.785300000000000182e+03,9.329223632812500000e+01,6.812499999999976907e-02
3.785400000000000091e+03,9.385986328125000000e+01,4.812499999999975131e-02
3.785500000000000000e+03,9.246826171875000000e+01,6.812499999999976907e-02
3.785599999999999909e+03,9.201049804687500000e+01,3.812499999999996447e-02
3.785699999999999818e+03,9.224853515625000000e+01,4.812499999999975131e-02
3.785800000000000182e+03,9.166259765625000000e+01,5.812499999999998224e-02
3.785900000000000091e+03,9.219360351562500000e+01,0.000000000000000000e+00
3.786000000000000000e+03,9.041748046875000000e+01,-1.437500000000024869e-02
3.786099999999999909e+03,9.038085937500000000e+01,2.312499999999984013e-02
3.786199999999999818e+03,9.061889648437500000e+01,1.562500000000000000e-02
3.786300000000000182e+03,9.006958007812500000e+01,2.812499999999973355e-02
3.786400000000000091e+03,8.941040039062500000e+01,5.062500000000014211e-02
3.786500000000000000e+03,8.882446289062500000e+01,4.562499999999980460e-02
3.786599999999999909e+03,8.889770507812500000e+01,4.312499999999985789e-02
3.786699999999999818e+03,8.909912109375000000e+01,4.562499999999980460e-02
3.786800000000000182e+03,8.796386718750000000e+01,1.812499999999994671e-02
3.786900000000000091e+03,8.767089843750000000e+01,5.812499999999998224e-02
3.787000000000000000e+03,8.732299804687500000e+01,4.562499999999980460e-02
3.787099999999999909e+03,8.741455078125000000e+01,6.562499999999982236e-02
3.787199999999999818e+03,8.761596679687500000e+01,6.062499999999992895e-02
3.787300000000000182e+03,8.593139648437500000e+01,1.062500000000010658e-02
3.787400000000000091e+03,8.629760742187500000e+01,3.312500000000007105e-02
3.787500000000000000e+03,8.605957031250000000e+01,4.812499999999975131e-02
3.787599999999999909e+03,8.605957031250000000e+01,4.562499999999980460e-02
3.787699999999999818e+03,8.538208007812500000e+01,1.812499999999994671e-02
3.787800000000000182e+03,8.441162109375000000e+01,2.812499999999973355e-02
3.787900000000000091e+03,8.490600585937500000e+01,5.062500000000014211e-02
3.788000000000000000e+03,8.466796875000000000e+01,4.312499999999985789e-02
3.788099999999999909e+03,8.463134765625000000e+01,5.562500000000003553e-02
3.788199999999999818e+03,8.364257812500000000e+01,5.562500000000003553e-02
3.788300000000000182e+03,8.307495117187500000e+01,3.812499999999996447e-02
3.788400000000000091e+03,8.362426757812500000e+01,4.812499999999975131e-02
3.788500000000000000e+03,8.334960937500000000e+01,1.812499999999994671e-02
3.788599999999999909e+03,8.232421875000000000e+01,5.562500000000003553e-02
3.788699999999999818e+03,8.234252929687500000e+01,4.812499999999975131e-02
3.788800000000000182e+03,8.179321289062500000e+01,2.812499999999973355e-02
3.788900000000000091e+03,8.230590820312500000e+01,1.562500000000000000e-02
3.789000000000000000e+03,8.168334960937500000e+01,6.562499999999982236e-02
3.789099999999999909e+03,8.091430664062500000e+01,5.624999999999769074e-03
3.789199999999999818e+03,8.107910156250000000e+01,2.312499999999984013e-02
3.789300000000000182e+03,8.060302734375000000e+01,4.812499999999975131e-02
3.789400000000000091e+03,8.109741210937500000e+01,2.812499999999973355e-02
3.789500000000000000e+03,7.976074218750000000e+01,1.062500000000010658e-02
3.789599999999999909e+03,7.968750000000000000e+01,2.812499999999973355e-02
3.789699999999999818e+03,7.990722656250000000e+01,7.062500000000015987e-02
3.789800000000000182e+03,7.941284179687500000e+01,5.062500000000014211e-02
3.789900000000000091e+03,7.913818359375000000e+01,6.812499999999976907e-02
3.790000000000000000e+03,7.847900390625000000e+01,4.812499999999975131e-02
3.790099999999999909e+03,7.847900390625000000e+01,4.062499999999991118e-02
3.790199999999999818e+03,7.868041992187500000e+01,2.062499999999989342e-02
3.790300000000000182e+03,7.820434570312500000e+01,4.562499999999980460e-02
3.790400000000000091e+03,7.754516601562500000e+01,4.812499999999975131e-02
3.790500000000000000e+03,7.728881835937500000e+01,3.812499999999996447e-02
3.790599999999999909e+03,7.728881835937500000e+01,5.562500000000003553e-02
3.790699999999999818e+03,7.747192382812500000e+01,1.850000000000000533e-01
