time,temperature,voltage
2.510500000000000000e+03,4.716796875000000000e+01,5.562500000000003553e-02
2.510599999999999909e+03,4.782714843750000000e+01,2.812499999999973355e-02
2.510699999999999818e+03,4.841308593750000000e+01,6.812499999999976907e-02
2.510800000000000182e+03,4.844970703125000000e+01,7.312500000000010658e-02
2.510900000000000091e+03,4.819335937500000000e+01,2.797499999999999876e+00
2.511000000000000000e+03,4.855957031250000000e+01,2.794999999999999929e+00
2.511099999999999909e+03,5.084838867187500000e+01,2.817499999999999893e+00
2.511199999999999818e+03,5.106811523437500000e+01,2.842499999999999805e+00
2.511300000000000182e+03,5.114135742187500000e+01,2.832500000000000018e+00
2.511400000000000091e+03,5.084838867187500000e+01,2.935000000000000053e+00
2.511500000000000000e+03,5.432739257812500000e+01,2.870000000000000107e+00
2.511599999999999909e+03,5.484008789062500000e+01,2.875000000000000000e+00
2.511699999999999818e+03,5.502319335937500000e+01,2.830000000000000071e+00
2.511800000000000182e+03,5.505981445312500000e+01,2.959999999999999964e+00
2.511900000000000091e+03,5.617675781250000000e+01,2.915000000000000036e+00
2.512000000000000000e+03,5.971069335937500000e+01,2.942499999999999893e+00
2.512099999999999909e+03,5.952758789062500000e+01,2.930000000000000160e+00
2.512199999999999818e+03,5.972900390625000000e+01,2.927500000000000213e+00
2.512300000000000182e+03,5.980224609375000000e+01,2.907500000000000195e+00
2.512400000000000091e+03,6.315307617187500000e+01,2.967499999999999805e+00
2.512500000000000000e+03,6.390380859375000000e+01,2.944999999999999840e+00
2.512599999999999909e+03,6.362915039062500000e+01,2.972500000000000142e+00
2.512699999999999818e+03,6.381225585937500000e+01,2.975000000000000089e+00
2.512800000000000182e+03,6.606445312500000000e+01,2.972500000000000142e+00
2.512900000000000091e+03,6.697998046875000000e+01,2.984999999999999876e+00
2.513000000000000000e+03,6.747436523437500000e+01,3.024999999999999911e+00
2.513099999999999909e+03,6.710815429687500000e+01,3.022499999999999964e+00
2.513199999999999818e+03,6.732788085937500000e+01,3.000000000000000000e+00
2.513300000000000182e+03,7.020263671875000000e+01,3.020000000000000018e+00
2.513400000000000091e+03,7.005615234375000000e+01,3.032500000000000195e+00
2.513500000000000000e+03,7.045898437500000000e+01,3.062500000000000000e+00
2.513599999999999909e+03,7.012939453125000000e+01,3.042499999999999982e+00
2.513699999999999818e+03,7.245483398437500000e+01,3.057500000000000107e+00
2.513800000000000182e+03,7.309570312500000000e+01,3.057500000000000107e+00
2.513900000000000091e+03,7.274780273437500000e+01,3.072499999999999787e+00
2.514000000000000000e+03,7.316894531250000000e+01,3.100000000000000089e+00
2.514099999999999909e+03,7.335205078125000000e+01,3.089999999999999858e+00
2.514199999999999818e+03,7.556762695312500000e+01,3.109999999999999876e+00
2.514300000000000182e+03,7.569580078125000000e+01,3.072499999999999787e+00
2.514400000000000091e+03,7.538452148437500000e+01,3.120000000000000107e+00
