time,temperature,voltage
1.255799999999999955e+03,4.694824218750000000e+01,5.562500000000003553e-02
1.255900000000000091e+03,4.687500000000000000e+01,7.562500000000005329e-02
1.256000000000000000e+03,4.716796875000000000e+01,2.562499999999978684e-02
1.256099999999999909e+03,4.736938476562500000e+01,2.817499999999999893e+00
1.256200000000000045e+03,4.705810546875000000e+01,2.777499999999999858e+00
1.256299999999999955e+03,4.738769531250000000e+01,2.852500000000000036e+00
1.256400000000000091e+03,4.866943359375000000e+01,2.805000000000000160e+00
1.256500000000000000e+03,4.907226562500000000e+01,2.834999999999999964e+00
1.256599999999999909e+03,4.925537109375000000e+01,2.895000000000000018e+00
1.256700000000000045e+03,4.894409179687500000e+01,2.870000000000000107e+00
1.256799999999999955e+03,4.960327148437500000e+01,2.832500000000000018e+00
1.256900000000000091e+03,5.238647460937500000e+01,2.942499999999999893e+00
1.257000000000000000e+03,5.238647460937500000e+01,2.632499999999999840e+00
1.257099999999999909e+03,5.264282226562500000e+01,2.902499999999999858e+00
1.257200000000000045e+03,5.223999023437500000e+01,2.899999999999999911e+00
1.257299999999999955e+03,5.615844726562500000e+01,2.887500000000000178e+00
1.257400000000000091e+03,5.670776367187500000e+01,2.924999999999999822e+00
1.257500000000000000e+03,5.661621093750000000e+01,2.955000000000000071e+00
1.257599999999999909e+03,5.683593750000000000e+01,2.927500000000000213e+00
1.257700000000000045e+03,5.859375000000000000e+01,2.964999999999999858e+00
1.257799999999999955e+03,6.135864257812500000e+01,2.959999999999999964e+00
1.257900000000000091e+03,6.139526367187500000e+01,2.959999999999999964e+00
1.258000000000000000e+03,6.132202148437500000e+01,2.982499999999999929e+00
1.258099999999999909e+03,6.152343750000000000e+01,3.000000000000000000e+00
1.258200000000000045e+03,6.458129882812500000e+01,2.997500000000000053e+00
1.258299999999999955e+03,6.529541015625000000e+01,2.995000000000000107e+00
1.258400000000000091e+03,6.520385742187500000e+01,3.035000000000000142e+00
1.258500000000000000e+03,6.514892578125000000e+01,2.995000000000000107e+00
1.258599999999999909e+03,6.747436523437500000e+01,2.997500000000000053e+00
1.258700000000000045e+03,6.807861328125000000e+01,3.017500000000000071e+00
1.258799999999999955e+03,6.853637695312500000e+01,3.042499999999999982e+00
1.258900000000000091e+03,6.840820312500000000e+01,3.042499999999999982e+00
1.259000000000000000e+03,6.846313476562500000e+01,2.992500000000000160e+00
1.259099999999999909e+03,7.139282226562500000e+01,3.044999999999999929e+00
1.259200000000000045e+03,7.097167968750000000e+01,3.097500000000000142e+00
1.259299999999999955e+03,7.141113281250000000e+01,3.122500000000000053e+00
1.259400000000000091e+03,7.130126953125000000e+01,3.067499999999999893e+00
1.259500000000000000e+03,7.338867187500000000e+01,3.107499999999999929e+00
1.259599999999999909e+03,7.404785156250000000e+01,3.202500000000000124e+00
1.259700000000000045e+03,7.359008789062500000e+01,3.087499999999999911e+00
1.259799999999999955e+03,7.401123046875000000e+01,3.109999999999999876e+00
1.259900000000000091e+03,7.483520507812500000e+01,3.112499999999999822e+00
1.260000000000000000e+03,7.617187500000000000e+01,3.125000000000000000e+00
1.260099999999999909e+03,7.646484375000000000e+01,3.120000000000000107e+00
1.260200000000000045e+03,7.597045898437500000e+01,3.137500000000000178e+00
1.260299999999999955e+03,7.646484375000000000e+01,3.140000000000000124e+00
1.260400000000000091e+03,7.842407226562500000e+01,3.117500000000000160e+00
1.260500000000000000e+03,7.853393554687500000e+01,3.142500000000000071e+00
1.260599999999999909e+03,7.879028320312500000e+01,3.162500000000000089e+00
1.260700000000000045e+03,7.829589843750000000e+01,3.177500000000000213e+00
1.260799999999999955e+03,8.029174804687500000e+01,3.177500000000000213e+00
1.260900000000000091e+03,8.074951171875000000e+01,3.180000000000000160e+00
1.261000000000000000e+03,8.073120117187500000e+01,3.165000000000000036e+00
1.261099999999999909e+03,8.100585937500000000e+01,3.217499999999999805e+00
1.261200000000000045e+03,8.047485351562500000e+01,3.212499999999999911e+00
1.261299999999999955e+03,8.298339843750000000e+01,3.180000000000000160e+00
1.261400000000000091e+03,8.287353515625000000e+01,3.212499999999999911e+00
1.261500000000000000e+03,8.285522460937500000e+01,3.245000000000000107e+00
1.261599999999999909e+03,8.309326171875000000e+01,3.232499999999999929e+00
1.261700000000000045e+03,8.421020507812500000e+01,3.207500000000000018e+00
1.261799999999999955e+03,8.507080078125000000e+01,3.209999999999999964e+00
1.261900000000000091e+03,8.486938476562500000e+01,3.252499999999999947e+00
1.262000000000000000e+03,8.486938476562500000e+01,3.232499999999999929e+00
1.262099999999999909e+03,8.574829101562500000e+01,3.247500000000000053e+00
1.262200000000000045e+03,8.637084960937500000e+01,3.254999999999999893e+00
1.262299999999999955e+03,8.699340820312500000e+01,3.259999999999999787e+00
1.262400000000000091e+03,8.675537109375000000e+01,3.287500000000000089e+00
1.262500000000000000e+03,8.673706054687500000e+01,3.310000000000000053e+00
1.262599999999999909e+03,8.875122070312500000e+01,3.305000000000000160e+00
1.262700000000000045e+03,8.836669921875000000e+01,3.280000000000000249e+00
1.262799999999999955e+03,8.889770507812500000e+01,3.297499999999999876e+00
1.262900000000000091e+03,8.864135742187500000e+01,3.302500000000000213e+00
1.263000000000000000e+03,8.981323242187500000e+01,3.327500000000000124e+00
1.263099999999999909e+03,9.069213867187500000e+01,3.307500000000000107e+00
1.263200000000000045e+03,9.016113281250000000e+01,3.330000000000000071e+00
1.263299999999999955e+03,9.072875976562500000e+01,3.365000000000000213e+00
1.263400000000000091e+03,9.045410156250000000e+01,3.327500000000000124e+00
1.263500000000000000e+03,9.221191406250000000e+01,3.347500000000000142e+00
1.263599999999999909e+03,9.250488281250000000e+01,3.354999999999999982e+00
1.263700000000000045e+03,9.197387695312500000e+01,3.379999999999999893e+00
1.263799999999999955e+03,9.254150390625000000e+01,3.362499999999999822e+00
1.263900000000000091e+03,9.369506835937500000e+01,3.357499999999999929e+00
1.264000000000000000e+03,9.407958984375000000e+01,3.375000000000000000e+00
1.264099999999999909e+03,9.435424804687500000e+01,3.375000000000000000e+00
1.264200000000000045e+03,9.376831054687500000e+01,3.410000000000000142e+00
1.264299999999999955e+03,9.490356445312500000e+01,3.382499999999999840e+00
1.264400000000000091e+03,9.572753906250000000e+01,3.387500000000000178e+00
1.264500000000000000e+03,9.578247070312500000e+01,3.382499999999999840e+00
1.264599999999999909e+03,9.602050781250000000e+01,3.407500000000000195e+00
1.264700000000000045e+03,9.548950195312500000e+01,3.410000000000000142e+00
1.264799999999999955e+03,9.755859375000000000e+01,3.504999999999999893e+00
1.264900000000000091e+03,9.743041992187500000e+01,3.459999999999999964e+00
1.265000000000000000e+03,9.750366210937500000e+01,3.422499999999999876e+00
1.265099999999999909e+03,9.770507812500000000e+01,3.459999999999999964e+00
1.265200000000000045e+03,9.834594726562500000e+01,3.457500000000000018e+00
1.265299999999999955e+03,9.946289062500000000e+01,3.447499999999999787e+00
1.265400000000000091e+03,9.907836914062500000e+01,3.455000000000000071e+00
1.265500000000000000e+03,9.920654296875000000e+01,3.452500000000000124e+00
1.265599999999999909e+03,9.955444335937500000e+01,3.500000000000000000e+00
1.265700000000000045e+03,1.004882812500000000e+02,3.492500000000000160e+00
1.265799999999999955e+03,1.011657714843750000e+02,3.500000000000000000e+00
1.265900000000000091e+03,1.008178710937500000e+02,3.500000000000000000e+00
1.266000000000000000e+03,1.009094238281250000e+02,3.509999999999999787e+00
1.266099999999999909e+03,1.025207519531250000e+02,3.517500000000000071e+00
1.266200000000000045e+03,1.021728515625000000e+02,3.524999999999999911e+00
1.266299999999999955e+03,1.027770996093750000e+02,3.517500000000000071e+00
1.266400000000000091e+03,1.024108886718750000e+02,3.570000000000000284e+00
1.266500000000000000e+03,1.032714843750000000e+02,3.785000000000000142e+00
1.266599999999999909e+03,1.043884277343750000e+02,3.542499999999999982e+00
1.266700000000000045e+03,1.038391113281250000e+02,3.549999999999999822e+00
1.266799999999999955e+03,1.044433593750000000e+02,3.560000000000000053e+00
1.266900000000000091e+03,1.041137695312500000e+02,3.540000000000000036e+00
